datetime,IF1503,IF1412,spread
2014-09-09 09:30:00,2522.0,2496.6,25.4
2014-09-09 09:31:00,2522.0,2496.4,25.6
2014-09-09 09:32:00,2521.2,2495.8,25.4
2014-09-09 09:33:00,2520.0,2494.8,25.2
2014-09-09 09:34:00,2521.8,2496.8,25.0
2014-09-09 09:35:00,2520.2,2495.4,24.8
2014-09-09 09:36:00,2521.0,2495.6,25.4
2014-09-09 09:37:00,2521.6,2496.8,24.8
2014-09-09 09:38:00,2519.6,2495.4,24.2
2014-09-09 09:39:00,2520.2,2495.8,24.4
2014-09-09 09:40:00,2519.6,2494.8,24.8
2014-09-09 09:41:00,2519.2,2494.6,24.6
2014-09-09 09:42:00,2518.2,2493.8,24.4
2014-09-09 09:43:00,2517.2,2492.6,24.6
2014-09-09 09:44:00,2515.6,2492.0,23.6
2014-09-09 09:45:00,2515.0,2491.0,24.0
2014-09-09 09:46:00,2507.0,2483.6,23.4
2014-09-09 09:47:00,2504.2,2481.2,23.0
2014-09-09 09:48:00,2506.2,2482.6,23.6
2014-09-09 09:49:00,2506.2,2481.8,24.4
2014-09-09 09:50:00,2504.2,2481.0,23.2
2014-09-09 09:51:00,2501.8,2479.2,22.6
2014-09-09 09:52:00,2502.2,2479.8,22.4
2014-09-09 09:53:00,2503.0,2481.0,22.0
2014-09-09 09:54:00,2502.8,2480.8,22.0
2014-09-09 09:55:00,2503.4,2481.4,22.0
2014-09-09 09:56:00,2505.6,2482.6,23.0
2014-09-09 09:57:00,2505.0,2482.8,22.2
2014-09-09 09:58:00,2504.4,2483.0,21.4
2014-09-09 09:59:00,2503.0,2481.8,21.2
2014-09-09 10:00:00,2504.2,2483.0,21.2
2014-09-09 10:01:00,2504.6,2483.4,21.2
2014-09-09 10:02:00,2505.2,2483.2,22.0
2014-09-09 10:03:00,2504.4,2482.0,22.4
2014-09-09 10:04:00,2503.8,2482.0,21.8
2014-09-09 10:05:00,2503.8,2481.4,22.4
2014-09-09 10:06:00,2504.8,2483.6,21.2
2014-09-09 10:07:00,2505.2,2484.0,21.2
2014-09-09 10:08:00,2506.0,2484.6,21.4
2014-09-09 10:09:00,2505.8,2484.6,21.2
2014-09-09 10:10:00,2507.0,2485.0,22.0
2014-09-09 10:11:00,2506.8,2484.8,22.0
2014-09-09 10:12:00,2507.2,2486.0,21.2
2014-09-09 10:13:00,2508.0,2486.2,21.8
2014-09-09 10:14:00,2509.2,2487.4,21.8
2014-09-09 10:15:00,2509.0,2487.0,22.0
2014-09-09 10:16:00,2509.4,2488.2,21.2
2014-09-09 10:17:00,2509.2,2487.0,22.2
2014-09-09 10:18:00,2508.4,2486.6,21.8
2014-09-09 10:19:00,2508.4,2486.8,21.6
2014-09-09 10:20:00,2508.2,2486.2,22.0
2014-09-09 10:21:00,2507.8,2486.0,21.8
2014-09-09 10:22:00,2507.0,2485.4,21.6
2014-09-09 10:23:00,2508.4,2486.8,21.6
2014-09-09 10:24:00,2509.2,2486.2,23.0
2014-09-09 10:25:00,2508.0,2486.2,21.8
2014-09-09 10:26:00,2508.0,2485.6,22.4
2014-09-09 10:27:00,2507.4,2485.4,22.0
2014-09-09 10:28:00,2505.8,2484.2,21.6
2014-09-09 10:29:00,2505.0,2483.0,22.0
2014-09-09 10:30:00,2503.8,2482.2,21.6
2014-09-09 10:31:00,2505.0,2483.4,21.6
2014-09-09 10:32:00,2507.2,2485.0,22.2
2014-09-09 10:33:00,2507.0,2485.2,21.8
2014-09-09 10:34:00,2507.8,2486.0,21.8
2014-09-09 10:35:00,2508.0,2485.4,22.6
2014-09-09 10:36:00,2508.0,2486.0,22.0
2014-09-09 10:37:00,2507.2,2485.2,22.0
2014-09-09 10:38:00,2506.4,2485.2,21.2
2014-09-09 10:39:00,2506.4,2484.8,21.6
2014-09-09 10:40:00,2508.0,2486.8,21.2
2014-09-09 10:41:00,2508.0,2486.0,22.0
2014-09-09 10:42:00,2508.0,2485.8,22.2
2014-09-09 10:43:00,2509.8,2488.2,21.6
2014-09-09 10:44:00,2510.8,2488.6,22.2
2014-09-09 10:45:00,2512.0,2489.2,22.8
2014-09-09 10:46:00,2510.6,2488.8,21.8
2014-09-09 10:47:00,2509.6,2488.0,21.6
2014-09-09 10:48:00,2510.4,2488.2,22.2
2014-09-09 10:49:00,2509.6,2488.2,21.4
2014-09-09 10:50:00,2510.8,2488.0,22.8
2014-09-09 10:51:00,2511.0,2488.4,22.6
2014-09-09 10:52:00,2510.6,2488.8,21.8
2014-09-09 10:53:00,2510.4,2488.0,22.4
2014-09-09 10:54:00,2510.2,2488.6,21.6
2014-09-09 10:55:00,2510.2,2488.4,21.8
2014-09-09 10:56:00,2511.0,2488.6,22.4
2014-09-09 10:57:00,2509.6,2487.2,22.4
2014-09-09 10:58:00,2508.6,2486.2,22.4
2014-09-09 10:59:00,2508.6,2486.6,22.0
