datetime,IF2012,IF2009,spread
2020/6/16 9:30,3778,3839,-61
2020/6/16 9:31,3777.4,3837.6,-60.2
2020/6/16 9:32,3782.4,3840.4,-58
2020/6/16 9:33,3778.2,3838,-59.8
2020/6/16 9:34,3784.8,3846.4,-61.6
2020/6/16 9:35,3793.2,3855.6,-62.4
2020/6/16 9:36,3789.4,3850.8,-61.4
2020/6/16 9:37,3789.2,3850.6,-61.4
2020/6/16 9:38,3789.6,3850.2,-60.6
2020/6/16 9:39,3788,3850,-62
2020/6/16 9:40,3790.4,3850,-59.6
2020/6/16 9:41,3789.8,3848.6,-58.8
2020/6/16 9:42,3791.8,3850.6,-58.8
2020/6/16 9:43,3793.2,3851.8,-58.6
2020/6/16 9:44,3793.2,3853.8,-60.6
2020/6/16 9:45,3795.6,3856.2,-60.6
2020/6/16 9:46,3792.4,3854,-61.6
2020/6/16 9:47,3793.4,3852.4,-59
2020/6/16 9:48,3792,3851.6,-59.6
2020/6/16 9:49,3792.8,3853.2,-60.4
2020/6/16 9:50,3792.4,3853.2,-60.8
2020/6/16 9:51,3792.6,3850.4,-57.8
2020/6/16 9:52,3792.6,3851,-58.4
2020/6/16 9:53,3790.8,3849.2,-58.4
2020/6/16 9:54,3791.8,3850.2,-58.4
2020/6/16 9:55,3789.6,3850,-60.4
2020/6/16 9:56,3789,3850,-61
2020/6/16 9:57,3786,3848.4,-62.4
2020/6/16 9:58,3787.6,3848.6,-61
2020/6/16 9:59,3788.8,3850,-61.2
2020/6/16 10:00,3792.2,3853.2,-61
2020/6/16 10:01,3792.2,3851.4,-59.2
2020/6/16 10:02,3789.4,3851,-61.6
2020/6/16 10:03,3787.8,3848.2,-60.4
2020/6/16 10:04,3787.8,3849.6,-61.8
2020/6/16 10:05,3788.6,3849.4,-60.8
2020/6/16 10:06,3785.6,3846.2,-60.6
2020/6/16 10:07,3783.2,3845.4,-62.2
2020/6/16 10:08,3785.8,3846.2,-60.4
2020/6/16 10:09,3787.8,3848,-60.2
2020/6/16 10:10,3789,3848,-59
2020/6/16 10:11,3788.6,3848.6,-60
2020/6/16 10:12,3789.6,3848.6,-59
2020/6/16 10:13,3785.2,3846.2,-61
2020/6/16 10:14,3785.4,3844.4,-59
2020/6/16 10:15,3784,3843.2,-59.2
2020/6/16 10:16,3783.4,3843.4,-60
2020/6/16 10:17,3783.6,3843,-59.4
2020/6/16 10:18,3782.2,3842.8,-60.6
2020/6/16 10:19,3784.2,3843.8,-59.6
2020/6/16 10:20,3784.4,3843.6,-59.2
2020/6/16 10:21,3784.6,3844.8,-60.2
2020/6/16 10:22,3788.8,3847.8,-59
2020/6/16 10:23,3789.8,3849,-59.2
2020/6/16 10:24,3789.2,3850,-60.8
2020/6/16 10:25,3789.6,3850,-60.4
2020/6/16 10:26,3790.4,3850,-59.6
2020/6/16 10:27,3788,3848.8,-60.8
2020/6/16 10:28,3787,3848,-61
2020/6/16 10:29,3786.8,3846.4,-59.6
2020/6/16 10:30,3791,3850.8,-59.8
2020/6/16 10:31,3789.8,3851.6,-61.8
2020/6/16 10:32,3791.2,3852.2,-61
2020/6/16 10:33,3792,3853.2,-61.2
2020/6/16 10:34,3790.8,3853.4,-62.6
2020/6/16 10:35,3792.8,3854.4,-61.6
2020/6/16 10:36,3794.4,3855.4,-61
2020/6/16 10:37,3794.4,3857.6,-63.2
2020/6/16 10:38,3796.4,3858,-61.6
2020/6/16 10:39,3796.6,3859.2,-62.6
2020/6/16 10:40,3796.4,3858.6,-62.2
2020/6/16 10:41,3794.4,3858,-63.6
2020/6/16 10:42,3793.6,3856,-62.4
2020/6/16 10:43,3794,3855.6,-61.6
2020/6/16 10:44,3797.2,3858.4,-61.2
2020/6/16 10:45,3793.8,3856.4,-62.6
2020/6/16 10:46,3793.4,3855.6,-62.2
2020/6/16 10:47,3792.2,3856.2,-64
2020/6/16 10:48,3794,3856.4,-62.4
2020/6/16 10:49,3795.6,3857.8,-62.2
2020/6/16 10:50,3794.8,3857.2,-62.4
2020/6/16 10:51,3795.6,3857.4,-61.8
2020/6/16 10:52,3795.2,3856.4,-61.2
2020/6/16 10:53,3794.6,3856,-61.4
2020/6/16 10:54,3794.4,3857.8,-63.4
2020/6/16 10:55,3794.8,3856.2,-61.4
2020/6/16 10:56,3794.2,3855.6,-61.4
2020/6/16 10:57,3794,3853.6,-59.6
2020/6/16 10:58,3795,3856.8,-61.8
2020/6/16 10:59,3795.4,3858.2,-62.8
2020/6/16 11:00,3796,3857.8,-61.8
2020/6/16 11:01,3794.6,3856.8,-62.2
2020/6/16 11:02,3795.2,3855.8,-60.6
2020/6/16 11:03,3793.2,3853.8,-60.6
2020/6/16 11:04,3794.2,3854.8,-60.6
2020/6/16 11:05,3793,3854.2,-61.2
2020/6/16 11:06,3790.4,3851.2,-60.8
2020/6/16 11:07,3790,3850.2,-60.2
2020/6/16 11:08,3787.8,3849,-61.2
2020/6/16 11:09,3786.6,3849,-62.4
2020/6/16 11:10,3789.2,3850,-60.8
2020/6/16 11:11,3789.8,3849,-59.2
2020/6/16 11:12,3787.8,3848.6,-60.8
2020/6/16 11:13,3786.6,3848.8,-62.2
2020/6/16 11:14,3785.2,3846.8,-61.6
2020/6/16 11:15,3784.6,3848.4,-63.8
2020/6/16 11:16,3786,3847.6,-61.6
2020/6/16 11:17,3786,3848.8,-62.8
2020/6/16 11:18,3787.8,3850.4,-62.6
2020/6/16 11:19,3787,3850.2,-63.2
2020/6/16 11:20,3790.4,3851.6,-61.2
2020/6/16 11:21,3789.2,3851,-61.8
2020/6/16 11:22,3788,3850.6,-62.6
2020/6/16 11:23,3784.2,3846.8,-62.6
2020/6/16 11:24,3780,3838.8,-58.8
2020/6/16 11:25,3778.2,3840.8,-62.6
2020/6/16 11:26,3777,3838.4,-61.4
2020/6/16 11:27,3776.4,3836.8,-60.4
2020/6/16 11:28,3779.8,3840.8,-61
2020/6/16 11:29,3781,3841,-60
2020/6/16 13:00,3786.4,3851,-64.6
2020/6/16 13:01,3788.6,3851.2,-62.6
2020/6/16 13:02,3789,3852.2,-63.2
2020/6/16 13:03,3789,3851.8,-62.8
2020/6/16 13:04,3792,3856,-64
2020/6/16 13:05,3792.6,3855,-62.4
2020/6/16 13:06,3791.8,3854.8,-63
2020/6/16 13:07,3792.8,3855.2,-62.4
2020/6/16 13:08,3793.2,3855.6,-62.4
2020/6/16 13:09,3794.4,3856.2,-61.8
2020/6/16 13:10,3793.2,3855.4,-62.2
2020/6/16 13:11,3792.6,3854.4,-61.8
2020/6/16 13:12,3792.6,3853.6,-61
2020/6/16 13:13,3790.2,3851.6,-61.4
2020/6/16 13:14,3791.8,3853.8,-62
2020/6/16 13:15,3792,3853.2,-61.2
2020/6/16 13:16,3790.8,3852.4,-61.6
2020/6/16 13:17,3790.8,3852.8,-62
2020/6/16 13:18,3791,3852.6,-61.6
2020/6/16 13:19,3792,3851.4,-59.4
2020/6/16 13:20,3791.6,3852,-60.4
2020/6/16 13:21,3791,3852,-61
2020/6/16 13:22,3792.2,3852.8,-60.6
2020/6/16 13:23,3793,3853.6,-60.6
2020/6/16 13:24,3794.2,3855.8,-61.6
2020/6/16 13:25,3794,3856.6,-62.6
2020/6/16 13:26,3794,3855.8,-61.8
2020/6/16 13:27,3793.8,3855.8,-62
2020/6/16 13:28,3794.8,3856.6,-61.8
2020/6/16 13:29,3795,3857,-62
2020/6/16 13:30,3794.8,3857,-62.2
2020/6/16 13:31,3793.2,3856.2,-63
2020/6/16 13:32,3793,3855.2,-62.2
2020/6/16 13:33,3791.6,3854.8,-63.2
2020/6/16 13:34,3791.4,3854,-62.6
2020/6/16 13:35,3792.6,3854.6,-62
2020/6/16 13:36,3792.2,3855,-62.8
2020/6/16 13:37,3794.6,3855,-60.4
2020/6/16 13:38,3794.6,3856.2,-61.6
2020/6/16 13:39,3794.8,3857.4,-62.6
2020/6/16 13:40,3793.6,3854.8,-61.2
2020/6/16 13:41,3792.8,3855,-62.2
2020/6/16 13:42,3794.2,3856,-61.8
2020/6/16 13:43,3793.8,3856.6,-62.8
2020/6/16 13:44,3792.8,3856.6,-63.8
2020/6/16 13:45,3792.6,3855,-62.4
2020/6/16 13:46,3793.2,3856.6,-63.4
2020/6/16 13:47,3792,3855.2,-63.2
2020/6/16 13:48,3791,3853.8,-62.8
2020/6/16 13:49,3792.4,3854.4,-62
2020/6/16 13:50,3790.8,3853.2,-62.4
2020/6/16 13:51,3790.8,3854,-63.2
