datetime,IF2103,IF2012,spread
2020/9/14 9:30,4504.4,4556.4,-52
2020/9/14 9:31,4513.4,4564.6,-51.2
2020/9/14 9:32,4512,4563.4,-51.4
2020/9/14 9:33,4503.2,4554.4,-51.2
2020/9/14 9:34,4505.6,4557.8,-52.2
2020/9/14 9:35,4505,4555,-50
2020/9/14 9:36,4504.8,4555,-50.2
2020/9/14 9:37,4504.2,4553.4,-49.2
2020/9/14 9:38,4497,4546,-49
2020/9/14 9:39,4498.6,4549.8,-51.2
2020/9/14 9:40,4499.2,4550.2,-51
2020/9/14 9:41,4493.8,4545.8,-52
2020/9/14 9:42,4494,4545.6,-51.6
2020/9/14 9:43,4498.8,4551.8,-53
2020/9/14 9:44,4495.4,4548.2,-52.8
2020/9/14 9:45,4500.8,4551.6,-50.8
2020/9/14 9:46,4501.4,4551,-49.6
2020/9/14 9:47,4501.8,4553.6,-51.8
2020/9/14 9:48,4501.8,4555,-53.2
2020/9/14 9:49,4500,4553.2,-53.2
2020/9/14 9:50,4500.4,4553.6,-53.2
2020/9/14 9:51,4495.8,4549.4,-53.6
2020/9/14 9:52,4491.6,4545.6,-54
2020/9/14 9:53,4495.6,4548.2,-52.6
2020/9/14 9:54,4498.6,4551.2,-52.6
2020/9/14 9:55,4503.2,4557.8,-54.6
2020/9/14 9:56,4504.2,4557.2,-53
2020/9/14 9:57,4503.8,4555.6,-51.8
2020/9/14 9:58,4499.8,4554.8,-55
2020/9/14 9:59,4499.8,4555.2,-55.4
2020/9/14 10:00,4500.8,4552,-51.2
2020/9/14 10:01,4498.8,4555,-56.2
2020/9/14 10:02,4497.8,4552.8,-55
2020/9/14 10:03,4502.2,4556,-53.8
2020/9/14 10:04,4501.4,4556,-54.6
2020/9/14 10:05,4501,4553.8,-52.8
2020/9/14 10:06,4499.6,4553,-53.4
2020/9/14 10:07,4501.2,4555,-53.8
2020/9/14 10:08,4496.8,4551.8,-55
2020/9/14 10:09,4500.8,4554.2,-53.4
2020/9/14 10:10,4501.8,4555.4,-53.6
2020/9/14 10:11,4501.6,4555.4,-53.8
2020/9/14 10:12,4502.2,4555.8,-53.6
2020/9/14 10:13,4500.4,4554.2,-53.8
2020/9/14 10:14,4500,4553,-53
2020/9/14 10:15,4498.6,4554.6,-56
2020/9/14 10:16,4497.4,4552.6,-55.2
2020/9/14 10:17,4497,4553.8,-56.8
2020/9/14 10:18,4497,4552.8,-55.8
2020/9/14 10:19,4501.2,4555,-53.8
2020/9/14 10:20,4500.8,4555.2,-54.4
2020/9/14 10:21,4503.2,4557.8,-54.6
2020/9/14 10:22,4505.8,4559.8,-54
2020/9/14 10:23,4507,4562.8,-55.8
2020/9/14 10:24,4505.8,4561.2,-55.4
2020/9/14 10:25,4508.2,4563.4,-55.2
2020/9/14 10:26,4510,4566,-56
2020/9/14 10:27,4510,4564.6,-54.6
2020/9/14 10:28,4513.4,4569.6,-56.2
2020/9/14 10:29,4511,4568,-57
2020/9/14 10:30,4510.2,4568.2,-58
2020/9/14 10:31,4506.2,4564.4,-58.2
2020/9/14 10:32,4507.8,4564.8,-57
2020/9/14 10:33,4506.2,4564,-57.8
2020/9/14 10:34,4510.2,4566,-55.8
2020/9/14 10:35,4506.8,4564.4,-57.6
2020/9/14 10:36,4506.6,4564.4,-57.8
2020/9/14 10:37,4506.4,4563,-56.6
2020/9/14 10:38,4507.8,4566.2,-58.4
2020/9/14 10:39,4507.8,4566.6,-58.8
2020/9/14 10:40,4503,4560.8,-57.8
2020/9/14 10:41,4502.8,4560.6,-57.8
2020/9/14 10:42,4504.8,4564.4,-59.6
2020/9/14 10:43,4502,4559.4,-57.4
2020/9/14 10:44,4503,4558.8,-55.8
2020/9/14 10:45,4499.2,4558.4,-59.2
2020/9/14 10:46,4500.2,4558,-57.8
2020/9/14 10:47,4500,4557.6,-57.6
2020/9/14 10:48,4498.4,4557.2,-58.8
2020/9/14 10:49,4494,4553.2,-59.2
2020/9/14 10:50,4492.4,4550,-57.6
2020/9/14 10:51,4490.8,4550.8,-60
2020/9/14 10:52,4494.8,4553.2,-58.4
2020/9/14 10:53,4493.4,4551.2,-57.8
2020/9/14 10:54,4493.2,4553.2,-60
2020/9/14 10:55,4493.2,4552.8,-59.6
2020/9/14 10:56,4491.2,4551.2,-60
2020/9/14 10:57,4493,4553,-60
2020/9/14 10:58,4490.2,4550,-59.8
2020/9/14 10:59,4488.8,4547,-58.2
2020/9/14 11:00,4485,4543.6,-58.6
2020/9/14 11:01,4483,4540.6,-57.6
2020/9/14 11:02,4483.6,4543.2,-59.6
2020/9/14 11:03,4484.6,4543.4,-58.8
2020/9/14 11:04,4483.8,4543.4,-59.6
2020/9/14 11:05,4484.4,4544,-59.6
2020/9/14 11:06,4484.2,4542.4,-58.2
2020/9/14 11:07,4483,4542.8,-59.8
2020/9/14 11:08,4486.6,4546.2,-59.6
2020/9/14 11:09,4485.4,4546,-60.6
2020/9/14 11:10,4484.2,4546.6,-62.4
2020/9/14 11:11,4485,4544.6,-59.6
2020/9/14 11:12,4485,4546.6,-61.6
2020/9/14 11:13,4485.8,4547.4,-61.6
2020/9/14 11:14,4484.8,4545.2,-60.4
2020/9/14 11:15,4485.8,4548.4,-62.6
2020/9/14 11:16,4487,4549.8,-62.8
2020/9/14 11:17,4489.8,4551.4,-61.6
2020/9/14 11:18,4487.8,4550.8,-63
2020/9/14 11:19,4490.2,4553.6,-63.4
2020/9/14 11:20,4489.4,4552.4,-63
2020/9/14 11:21,4489.2,4551.4,-62.2
2020/9/14 11:22,4492.2,4553.6,-61.4
2020/9/14 11:23,4491.2,4554.4,-63.2
2020/9/14 11:24,4490,4554,-64
2020/9/14 11:25,4489.8,4551.8,-62
2020/9/14 11:26,4487.6,4550.4,-62.8
2020/9/14 11:27,4489,4550,-61
2020/9/14 11:28,4489,4551.4,-62.4
2020/9/14 11:29,4488,4549.4,-61.4
2020/9/14 13:00,4485,4545.6,-60.6
2020/9/14 13:01,4483,4548,-65
2020/9/14 13:02,4484.2,4547.8,-63.6
2020/9/14 13:03,4482.4,4544.6,-62.2
2020/9/14 13:04,4485,4544.8,-59.8
2020/9/14 13:05,4482.4,4543.4,-61
2020/9/14 13:06,4481.6,4541.6,-60
2020/9/14 13:07,4480.4,4540,-59.6
2020/9/14 13:08,4482.2,4541.2,-59
2020/9/14 13:09,4480.8,4538.4,-57.6
2020/9/14 13:10,4477,4536.2,-59.2
2020/9/14 13:11,4477.8,4536.6,-58.8
2020/9/14 13:12,4480.8,4539.8,-59
2020/9/14 13:13,4479.8,4536.2,-56.4
2020/9/14 13:14,4477.2,4535.4,-58.2
2020/9/14 13:15,4476.2,4535.2,-59
2020/9/14 13:16,4475.8,4534,-58.2
2020/9/14 13:17,4479.8,4538.6,-58.8
2020/9/14 13:18,4478,4536.8,-58.8
2020/9/14 13:19,4478.4,4535,-56.6
2020/9/14 13:20,4478.4,4533.6,-55.2
2020/9/14 13:21,4476,4532.4,-56.4
2020/9/14 13:22,4477.6,4535,-57.4
2020/9/14 13:23,4477.4,4535.8,-58.4
2020/9/14 13:24,4480.2,4537.2,-57
2020/9/14 13:25,4476,4533.4,-57.4
2020/9/14 13:26,4475,4534.2,-59.2
2020/9/14 13:27,4475.2,4534.8,-59.6
2020/9/14 13:28,4474.8,4533.6,-58.8
2020/9/14 13:29,4473,4530.2,-57.2
2020/9/14 13:30,4473.4,4528.6,-55.2
2020/9/14 13:31,4473,4529.8,-56.8
2020/9/14 13:32,4473.8,4529.2,-55.4
2020/9/14 13:33,4475.4,4532.4,-57
2020/9/14 13:34,4472.8,4530.6,-57.8
2020/9/14 13:35,4475.8,4532.2,-56.4
2020/9/14 13:36,4476.6,4533.8,-57.2
2020/9/14 13:37,4478.8,4535.4,-56.6
2020/9/14 13:38,4476.8,4535.4,-58.6
2020/9/14 13:39,4476,4532.8,-56.8
2020/9/14 13:40,4481.8,4538,-56.2
2020/9/14 13:41,4484.4,4541,-56.6
