,datetime,code,open,high,low,close,volume,amt,open_interest
0,2015-01-05,000905.SH,5338.75,5427.23,5314.34,5417.02,12878800000.0,139343000000.0,0
1,2015-01-06,000905.SH,5389.9,5482.12,5354.34,5479.86,12375400000.0,140328000000.0,0
2,2015-01-07,000905.SH,5471.4,5492.83,5436.92,5488.24,9605050000.0,111787000000.0,0
3,2015-01-08,000905.SH,5482.39,5497.74,5418.01,5444.04,9563460000.0,108521000000.0,0
4,2015-01-09,000905.SH,5424.5,5497.69,5409.06,5409.06,9064080000.0,105390000000.0,0
5,2015-01-12,000905.SH,5386.58,5386.58,5303.73,5332.22,7802640000.0,89363500000.0,0
6,2015-01-13,000905.SH,5333.97,5407.63,5333.97,5405.09,6869380000.0,84711100000.0,0
7,2015-01-14,000905.SH,5404.37,5417.8,5350.17,5379.74,6708650000.0,83215900000.0,0
8,2015-01-15,000905.SH,5380.45,5449.25,5380.34,5449.04,6788550000.0,81580600000.0,0
9,2015-01-16,000905.SH,5459.19,5520.79,5454.24,5520.12,8450680000.0,104672000000.0,0
10,2015-01-19,000905.SH,5359.47,5475.66,5222.04,5281.9,10533600000.0,121918000000.0,0
11,2015-01-20,000905.SH,5303.18,5472.74,5303.18,5472.51,9193800000.0,113837000000.0,0
12,2015-01-21,000905.SH,5490.84,5611.98,5490.53,5611.69,11016700000.0,137795000000.0,0
13,2015-01-22,000905.SH,5617.61,5690.43,5610.09,5690.16,10541300000.0,134778000000.0,0
14,2015-01-23,000905.SH,5697.84,5699.73,5611.07,5633.29,9944030000.0,124088000000.0,0
15,2015-01-26,000905.SH,5644.03,5759.37,5636.2,5758.98,10129900000.0,126016000000.0,0
16,2015-01-27,000905.SH,5767.74,5783.99,5670.43,5773.82,11431800000.0,139606000000.0,0
17,2015-01-28,000905.SH,5756.68,5798.57,5722.49,5739.92,10238600000.0,123833000000.0,0
18,2015-01-29,000905.SH,5692.39,5739.49,5670.5,5701.21,8453860000.0,102905000000.0,0
19,2015-01-30,000905.SH,5708.28,5735.93,5631.56,5632.73,8059330000.0,100021000000.0,0
20,2015-02-02,000905.SH,5568.44,5652.67,5539.52,5609.39,7187190000.0,87828900000.0,0
21,2015-02-03,000905.SH,5627.4,5708.28,5627.4,5707.48,7543260000.0,98565900000.0,0
22,2015-02-04,000905.SH,5720.98,5734.33,5680.83,5683.52,8092670000.0,104847000000.0,0
23,2015-02-05,000905.SH,5741.19,5745.14,5654.22,5654.22,8832440000.0,114977000000.0,0
24,2015-02-06,000905.SH,5640.02,5657.66,5510.76,5534.79,7627760000.0,95597200000.0,0
25,2015-02-09,000905.SH,5526.14,5551.9,5492.55,5504.97,5587340000.0,71258500000.0,0
26,2015-02-10,000905.SH,5502.73,5581.34,5500.54,5580.7,5497380000.0,72864200000.0,0
27,2015-02-11,000905.SH,5587.64,5642.3,5587.44,5641.79,5805960000.0,78478400000.0,0
28,2015-02-12,000905.SH,5647.55,5689.74,5640.86,5681.34,6269180000.0,86260900000.0,0
29,2015-02-13,000905.SH,5709.16,5789.38,5709.16,5769.27,8230640000.0,110777000000.0,0
30,2015-02-16,000905.SH,5786.15,5870.08,5786.04,5869.71,8230560000.0,113009000000.0,0
31,2015-02-17,000905.SH,5888.87,5914.29,5877.95,5911.1,8093890000.0,107302000000.0,0
32,2015-02-25,000905.SH,5926.23,5952.71,5887.37,5906.54,8355060000.0,109966000000.0,0
33,2015-02-26,000905.SH,5903.26,5970.06,5897.71,5969.56,9092070000.0,113711000000.0,0
34,2015-02-27,000905.SH,5974.36,6025.12,5970.68,6018.46,9656070000.0,125337000000.0,0
35,2015-03-02,000905.SH,6064.82,6139.79,6039.25,6139.79,12723500000.0,168615000000.0,0
36,2015-03-03,000905.SH,6124.28,6199.5,6099.13,6118.66,14695300000.0,191869000000.0,0
37,2015-03-04,000905.SH,6114.69,6211.09,6114.21,6210.42,11922600000.0,159432000000.0,0
38,2015-03-05,000905.SH,6212.66,6217.79,6161.38,6208.99,12095900000.0,160069000000.0,0
39,2015-03-06,000905.SH,6214.33,6234.11,6129.62,6133.03,10931400000.0,143376000000.0,0
40,2015-03-09,000905.SH,6113.58,6212.57,6080.54,6212.24,9870220000.0,127801000000.0,0
41,2015-03-10,000905.SH,6214.52,6299.28,6205.92,6276.48,10291500000.0,135648000000.0,0
42,2015-03-11,000905.SH,6275.17,6281.19,6236.79,6262.89,9946250000.0,131495000000.0,0
43,2015-03-12,000905.SH,6273.69,6288.52,6220.63,6260.14,10182100000.0,135323000000.0,0
44,2015-03-13,000905.SH,6271.82,6329.7,6271.82,6329.58,9522980000.0,127280000000.0,0
45,2015-03-16,000905.SH,6369.2,6517.03,6369.2,6516.77,13705800000.0,189424000000.0,0
46,2015-03-17,000905.SH,6547.39,6635.1,6525.83,6618.05,17258300000.0,235496000000.0,0
47,2015-03-18,000905.SH,6624.39,6728.51,6612.46,6728.07,16461600000.0,221265000000.0,0
48,2015-03-19,000905.SH,6733.12,6783.14,6687.44,6782.46,16687300000.0,226099000000.0,0
49,2015-03-20,000905.SH,6789.06,6862.38,6786.33,6850.9,15216200000.0,218477000000.0,0
50,2015-03-23,000905.SH,6891.92,7017.48,6891.92,7017.15,17177800000.0,249561000000.0,0
51,2015-03-24,000905.SH,7042.93,7055.1,6801.54,7046.12,19706700000.0,287241000000.0,0
52,2015-03-25,000905.SH,7051.82,7170.83,7001.51,7124.87,16957500000.0,255698000000.0,0
53,2015-03-26,000905.SH,7104.04,7171.62,6995.65,7074.44,16392600000.0,246538000000.0,0
54,2015-03-27,000905.SH,7076.49,7167.37,7060.43,7155.94,12646100000.0,189864000000.0,0
55,2015-03-30,000905.SH,7180.06,7259.54,7180.06,7245.5,16322000000.0,238312000000.0,0
56,2015-03-31,000905.SH,7280.15,7328.85,7214.48,7253.1,16990600000.0,253293000000.0,0
57,2015-04-01,000905.SH,7258.83,7430.94,7258.74,7425.73,15491900000.0,237481000000.0,0
58,2015-04-02,000905.SH,7463.91,7561.2,7447.12,7560.65,16765100000.0,260629000000.0,0
59,2015-04-03,000905.SH,7532.15,7682.72,7494.36,7679.01,17012400000.0,264305000000.0,0
60,2015-04-07,000905.SH,7728.91,7863.6,7728.8,7863.28,18090500000.0,286055000000.0,0
61,2015-04-08,000905.SH,7908.77,7920.98,7674.07,7808.0,18949600000.0,307712000000.0,0
62,2015-04-09,000905.SH,7818.2,7818.2,7483.28,7746.15,18275500000.0,291843000000.0,0
63,2015-04-10,000905.SH,7727.01,7971.62,7683.8,7952.19,16150300000.0,259673000000.0,0
64,2015-04-13,000905.SH,7994.25,8143.38,7977.0,8122.89,17848500000.0,297004000000.0,0
65,2015-04-14,000905.SH,8129.73,8192.24,8039.95,8119.96,18319000000.0,298146000000.0,0
66,2015-04-15,000905.SH,8093.13,8093.13,7786.93,7802.75,16721100000.0,266483000000.0,0
67,2015-04-16,000905.SH,7705.46,7976.12,7607.4,7912.09,14324600000.0,230085000000.0,0
68,2015-04-17,000905.SH,7979.35,8032.08,7925.74,7980.76,19111000000.0,299255000000.0,0
69,2015-04-20,000905.SH,7967.03,8051.47,7801.03,7839.9,21459600000.0,330349000000.0,0
70,2015-04-21,000905.SH,7852.52,8113.02,7846.61,8112.69,16981000000.0,272448000000.0,0
71,2015-04-22,000905.SH,8180.12,8333.82,8179.3,8323.43,19915700000.0,318652000000.0,0
72,2015-04-23,000905.SH,8371.85,8447.92,8275.13,8410.7,19799500000.0,322874000000.0,0
73,2015-04-24,000905.SH,8321.33,8453.34,8256.2,8419.09,18352800000.0,304028000000.0,0
74,2015-04-27,000905.SH,8503.57,8576.48,8413.23,8513.02,18568600000.0,307314000000.0,0
75,2015-04-28,000905.SH,8533.67,8543.33,8187.15,8266.48,18425800000.0,303637000000.0,0
76,2015-04-29,000905.SH,8248.32,8449.7,8204.73,8428.25,14507500000.0,248414000000.0,0
77,2015-04-30,000905.SH,8460.39,8551.46,8458.6,8469.67,14665400000.0,252899000000.0,0
78,2015-05-04,000905.SH,8493.96,8532.65,8381.37,8510.48,13620500000.0,235269000000.0,0
79,2015-05-05,000905.SH,8501.12,8501.12,8160.66,8199.34,14422400000.0,237915000000.0,0
80,2015-05-06,000905.SH,8220.6,8359.3,8012.48,8083.0,12931400000.0,219298000000.0,0
81,2015-05-07,000905.SH,8043.01,8076.23,7886.36,7903.48,11257100000.0,179223000000.0,0
82,2015-05-08,000905.SH,7989.34,8201.8,7983.83,8201.29,11888800000.0,203154000000.0,0
83,2015-05-11,000905.SH,8292.62,8558.8,8242.1,8558.22,14857200000.0,268455000000.0,0
84,2015-05-12,000905.SH,8595.08,8746.21,8564.66,8745.68,16584900000.0,301032000000.0,0
85,2015-05-13,000905.SH,8719.58,8909.58,8643.43,8824.93,17498600000.0,317305000000.0,0
86,2015-05-14,000905.SH,8829.83,8878.47,8725.3,8813.39,14901800000.0,272168000000.0,0
87,2015-05-15,000905.SH,8790.01,8828.12,8626.23,8742.88,14371400000.0,256825000000.0,0
88,2015-05-18,000905.SH,8725.41,8929.94,8698.9,8903.59,14044500000.0,255351000000.0,0
89,2015-05-19,000905.SH,8927.39,9125.51,8904.19,9124.83,15175500000.0,270858000000.0,0
90,2015-05-20,000905.SH,9176.03,9429.22,9173.4,9277.33,19095600000.0,341437000000.0,0
91,2015-05-21,000905.SH,9320.84,9620.09,9320.23,9619.22,18717800000.0,339920000000.0,0
92,2015-05-22,000905.SH,9756.53,9821.81,9547.42,9778.17,22250800000.0,408872000000.0,0
93,2015-05-25,000905.SH,9717.51,10040.7,9659.32,10040.1,22846400000.0,415725000000.0,0
94,2015-05-26,000905.SH,10117.7,10373.8,10046.2,10373.6,23851400000.0,454167000000.0,0
95,2015-05-27,000905.SH,10421.3,10539.8,10192.2,10497.3,23261200000.0,448445000000.0,0
96,2015-05-28,000905.SH,10501.4,10637.9,9860.55,9868.42,25809400000.0,484526000000.0,0
97,2015-05-29,000905.SH,9846.39,10140.1,9433.09,9966.84,19877300000.0,365694000000.0,0
98,2015-06-01,000905.SH,10067.5,10488.9,10067.5,10488.3,18601600000.0,352130000000.0,0
99,2015-06-02,000905.SH,10592.8,10887.9,10541.3,10886.4,21323400000.0,413213000000.0,0
100,2015-06-03,000905.SH,10974.0,11055.2,10674.1,10980.0,20906000000.0,422516000000.0,0
101,2015-06-04,000905.SH,10986.4,11023.3,10269.0,10965.4,21146000000.0,416106000000.0,0
102,2015-06-05,000905.SH,11117.4,11236.2,10887.2,11144.5,24887500000.0,484267000000.0,0
103,2015-06-08,000905.SH,11157.2,11157.2,10860.4,11030.9,23563100000.0,457819000000.0,0
104,2015-06-09,000905.SH,11009.9,11089.2,10861.6,11013.7,18518400000.0,365243000000.0,0
105,2015-06-10,000905.SH,10947.5,11319.9,10830.3,11208.1,18459000000.0,375121000000.0,0
106,2015-06-11,000905.SH,11220.1,11367.6,11156.0,11366.3,19036800000.0,381799000000.0,0
107,2015-06-12,000905.SH,11424.3,11616.4,11400.7,11545.9,21065600000.0,425433000000.0,0
108,2015-06-15,000905.SH,11590.0,11616.3,11304.0,11332.9,20587700000.0,425891000000.0,0
109,2015-06-16,000905.SH,11205.8,11205.8,10768.6,10879.8,17950400000.0,362990000000.0,0
110,2015-06-17,000905.SH,10865.4,11133.1,10497.7,11100.5,16004000000.0,321536000000.0,0
111,2015-06-18,000905.SH,11093.3,11178.3,10714.3,10731.4,15435200000.0,307393000000.0,0
112,2015-06-19,000905.SH,10475.9,10601.0,9968.99,9987.41,13784900000.0,260340000000.0,0
113,2015-06-23,000905.SH,9951.78,10074.8,9333.91,10046.9,14104600000.0,255196000000.0,0
114,2015-06-24,000905.SH,10136.3,10271.2,9950.62,10267.6,15820900000.0,300643000000.0,0
115,2015-06-25,000905.SH,10298.6,10343.1,9771.89,9906.1,16407300000.0,314829000000.0,0
116,2015-06-26,000905.SH,9571.55,9603.13,9059.36,9078.06,14507700000.0,247206000000.0,0
117,2015-06-29,000905.SH,9267.03,9281.17,8339.33,8484.64,18165300000.0,291294000000.0,0
118,2015-06-30,000905.SH,8302.18,8912.4,7882.33,8906.02,19556900000.0,306723000000.0,0
119,2015-07-01,000905.SH,8808.51,9103.09,8385.43,8411.91,17129700000.0,287642000000.0,0
120,2015-07-02,000905.SH,8369.49,8433.52,7787.1,7835.1,15697400000.0,236427000000.0,0
121,2015-07-03,000905.SH,7530.27,7930.15,7249.31,7355.49,15610600000.0,211908000000.0,0
122,2015-07-06,000905.SH,7842.43,7842.43,6883.61,7236.0,23075400000.0,295173000000.0,0
123,2015-07-07,000905.SH,6977.55,7030.98,6763.12,6763.53,11411600000.0,130757000000.0,0
124,2015-07-08,000905.SH,6444.67,6702.28,6444.25,6602.37,27534100000.0,306333000000.0,0
125,2015-07-09,000905.SH,6525.12,6896.49,6525.12,6896.35,9581580000.0,113774000000.0,0
126,2015-07-10,000905.SH,7101.82,7245.33,7081.35,7244.78,7214120000.0,92427700000.0,0
127,2015-07-13,000905.SH,7563.38,7695.67,7502.55,7695.64,12457800000.0,174732000000.0,0
128,2015-07-14,000905.SH,7854.0,8076.19,7772.39,7859.06,16738400000.0,249878000000.0,0
129,2015-07-15,000905.SH,7836.08,7837.84,7391.96,7405.29,16426800000.0,231734000000.0,0
130,2015-07-16,000905.SH,7342.83,7729.7,7078.71,7578.76,14201300000.0,200520000000.0,0
131,2015-07-17,000905.SH,7629.78,8050.73,7620.16,7994.7,13937700000.0,208394000000.0,0
132,2015-07-20,000905.SH,8025.1,8250.4,7931.65,8116.5,16213200000.0,252543000000.0,0
133,2015-07-21,000905.SH,8011.9,8291.93,7937.63,8220.46,14309800000.0,222962000000.0,0
134,2015-07-22,000905.SH,8207.17,8354.38,8075.6,8320.24,16116600000.0,250462000000.0,0
135,2015-07-23,000905.SH,8330.47,8585.8,8288.84,8551.99,17749500000.0,273745000000.0,0
136,2015-07-24,000905.SH,8580.65,8706.25,8348.42,8425.07,19694800000.0,319784000000.0,0
137,2015-07-27,000905.SH,8240.68,8493.35,7791.6,7794.18,17174000000.0,277808000000.0,0
138,2015-07-28,000905.SH,7514.15,7893.94,7261.61,7649.82,18029400000.0,265549000000.0,0
139,2015-07-29,000905.SH,7765.95,8024.58,7472.63,8022.8,13274500000.0,207023000000.0,0
140,2015-07-30,000905.SH,7979.57,8174.7,7766.46,7800.58,14192900000.0,228327000000.0,0
141,2015-07-31,000905.SH,7692.48,7876.65,7634.54,7727.06,10783400000.0,169763000000.0,0
142,2015-08-03,000905.SH,7605.89,7658.17,7370.04,7540.21,11236500000.0,165122000000.0,0
143,2015-08-04,000905.SH,7548.03,7942.27,7532.83,7942.1,11718000000.0,175497000000.0,0
144,2015-08-05,000905.SH,7933.32,8047.7,7773.92,7839.34,12000000000.0,186153000000.0,0
145,2015-08-06,000905.SH,7660.58,7891.56,7633.29,7792.03,9005830000.0,137351000000.0,0
146,2015-08-07,000905.SH,7874.42,8015.37,7855.68,8013.32,10947000000.0,170596000000.0,0
147,2015-08-10,000905.SH,8106.12,8437.92,8079.88,8394.09,14531700000.0,230800000000.0,0
148,2015-08-11,000905.SH,8402.32,8551.53,8356.52,8435.33,16243500000.0,263075000000.0,0
149,2015-08-12,000905.SH,8342.61,8490.27,8320.05,8336.34,13268100000.0,217932000000.0,0
150,2015-08-13,000905.SH,8287.77,8535.37,8237.89,8534.43,13365000000.0,216707000000.0,0
151,2015-08-14,000905.SH,8599.77,8717.07,8548.34,8625.24,16071300000.0,262366000000.0,0
152,2015-08-17,000905.SH,8613.29,8820.98,8582.83,8820.46,16201300000.0,264347000000.0,0
153,2015-08-18,000905.SH,8842.16,8858.33,8140.91,8161.27,18439600000.0,295325000000.0,0
154,2015-08-19,000905.SH,7865.63,8404.94,7667.32,8340.98,16262200000.0,247736000000.0,0
155,2015-08-20,000905.SH,8255.93,8376.67,8049.51,8049.51,13831400000.0,215502000000.0,0
156,2015-08-21,000905.SH,7884.3,8006.29,7583.7,7612.9,13456100000.0,193790000000.0,0
157,2015-08-24,000905.SH,7255.29,7292.77,7003.66,7006.19,9219220000.0,123506000000.0,0
158,2015-08-25,000905.SH,6496.11,6666.81,6467.81,6481.41,10416200000.0,127803000000.0,0
159,2015-08-26,000905.SH,6470.0,6687.53,6165.11,6238.53,14919700000.0,178117000000.0,0
160,2015-08-27,000905.SH,6344.95,6457.86,6099.17,6456.05,12493200000.0,148108000000.0,0
161,2015-08-28,000905.SH,6554.76,6844.45,6512.7,6842.89,14275900000.0,178365000000.0,0
162,2015-08-31,000905.SH,6791.42,6791.42,6578.35,6581.31,11625900000.0,148297000000.0,0
163,2015-09-01,000905.SH,6507.88,6507.88,6161.03,6169.21,9866790000.0,112818000000.0,0
164,2015-09-02,000905.SH,5878.21,6314.29,5866.66,6122.55,11503300000.0,130640000000.0,0
165,2015-09-07,000905.SH,6187.69,6379.2,6094.49,6143.56,10244700000.0,123125000000.0,0
166,2015-09-08,000905.SH,6096.01,6387.36,6014.57,6374.85,8550980000.0,99580900000.0,0
167,2015-09-09,000905.SH,6408.67,6609.94,6380.25,6551.01,15009800000.0,185118000000.0,0
168,2015-09-10,000905.SH,6434.53,6565.16,6407.12,6440.31,10641500000.0,129232000000.0,0
169,2015-09-11,000905.SH,6423.52,6523.19,6385.31,6493.32,9257200000.0,113349000000.0,0
170,2015-09-14,000905.SH,6535.26,6554.38,6018.44,6049.79,11911400000.0,138102000000.0,0
171,2015-09-15,000905.SH,5886.27,5996.22,5689.97,5708.03,9342740000.0,97459800000.0,0
172,2015-09-16,000905.SH,5722.53,6107.37,5704.12,6084.84,10495300000.0,113350000000.0,0
173,2015-09-17,000905.SH,6057.87,6242.25,5965.41,5965.41,12783600000.0,145295000000.0,0
174,2015-09-18,000905.SH,6007.46,6073.55,5934.1,6036.88,8365210000.0,94611600000.0,0
175,2015-09-21,000905.SH,5966.29,6251.62,5943.59,6250.44,10543400000.0,123113000000.0,0
176,2015-09-22,000905.SH,6264.06,6362.05,6215.57,6295.93,11869000000.0,142489000000.0,0
177,2015-09-23,000905.SH,6192.33,6302.64,6162.97,6224.6,10124700000.0,121883000000.0,0
178,2015-09-24,000905.SH,6250.09,6324.31,6227.39,6315.11,9329020000.0,111995000000.0,0
179,2015-09-25,000905.SH,6294.2,6336.43,6064.72,6108.38,9894200000.0,115277000000.0,0
180,2015-09-28,000905.SH,6118.23,6221.01,6020.46,6219.69,6773720000.0,81183100000.0,0
181,2015-09-29,000905.SH,6114.48,6183.83,6065.85,6103.61,6857950000.0,81630200000.0,0
182,2015-09-30,000905.SH,6139.14,6165.75,6066.83,6123.73,5649770000.0,69580000000.0,0
183,2015-10-08,000905.SH,6322.54,6409.74,6281.53,6372.49,9490730000.0,117653000000.0,0
184,2015-10-09,000905.SH,6369.75,6495.29,6353.04,6470.05,9971170000.0,122666000000.0,0
185,2015-10-12,000905.SH,6505.91,6788.4,6501.76,6718.72,15362000000.0,194873000000.0,0
186,2015-10-13,000905.SH,6672.66,6816.78,6650.61,6802.08,13297800000.0,167009000000.0,0
187,2015-10-14,000905.SH,6772.46,6842.87,6709.35,6724.5,12588200000.0,162533000000.0,0
188,2015-10-15,000905.SH,6694.07,6929.48,6694.07,6929.24,13179500000.0,176735000000.0,0
189,2015-10-16,000905.SH,6979.68,7052.14,6883.2,7047.56,16451000000.0,214656000000.0,0
190,2015-10-19,000905.SH,7072.36,7113.66,6951.8,7047.37,15600800000.0,213220000000.0,0
191,2015-10-20,000905.SH,7033.2,7163.26,6996.56,7162.08,13806300000.0,191315000000.0,0
192,2015-10-21,000905.SH,7159.13,7186.54,6689.27,6712.74,17816900000.0,238182000000.0,0
193,2015-10-22,000905.SH,6708.21,6970.68,6700.62,6964.3,13547100000.0,184023000000.0,0
194,2015-10-23,000905.SH,7015.62,7169.37,6988.55,7138.23,15889900000.0,231325000000.0,0
195,2015-10-26,000905.SH,7223.15,7233.36,7088.57,7186.75,16330500000.0,236116000000.0,0
196,2015-10-27,000905.SH,7123.08,7266.78,6900.44,7231.44,14744100000.0,210782000000.0,0
197,2015-10-28,000905.SH,7179.99,7270.79,7019.61,7048.9,13272400000.0,194119000000.0,0
198,2015-10-29,000905.SH,7097.19,7185.21,7011.86,7108.97,11074100000.0,162167000000.0,0
199,2015-10-30,000905.SH,7088.81,7185.52,6984.5,7084.97,11007000000.0,164366000000.0,0
200,2015-11-02,000905.SH,6936.37,7137.05,6914.15,6936.43,10720400000.0,157873000000.0,0
201,2015-11-03,000905.SH,6956.89,6998.05,6860.44,6920.1,8910530000.0,131476000000.0,0
202,2015-11-04,000905.SH,6953.87,7268.4,6953.87,7267.99,13920800000.0,203475000000.0,0
203,2015-11-05,000905.SH,7277.1,7364.51,7225.64,7276.45,18519200000.0,268748000000.0,0
