,datetime,code,open,high,low,close,volume,amt,open_interest
0,2015-01-05,000300.SH,3566.09,3669.04,3551.51,3641.54,45119800000.0,519850000000.0,0
1,2015-01-06,000300.SH,3608.43,3683.23,3587.23,3641.06,42096200000.0,498530000000.0,0
2,2015-01-07,000300.SH,3620.92,3671.19,3601.7,3643.79,32019100000.0,398732000000.0,0
3,2015-01-08,000300.SH,3650.07,3659.95,3552.1,3559.26,29500300000.0,355832000000.0,0
4,2015-01-09,000300.SH,3547.57,3689.75,3536.4,3546.72,34998300000.0,430211000000.0,0
5,2015-01-12,000300.SH,3531.51,3560.53,3461.32,3513.58,26656700000.0,334257000000.0,0
6,2015-01-13,000300.SH,3506.45,3550.16,3494.77,3514.04,18715400000.0,250797000000.0,0
7,2015-01-14,000300.SH,3522.91,3547.24,3471.56,3502.42,19601300000.0,241286000000.0,0
8,2015-01-15,000300.SH,3501.72,3604.12,3482.27,3604.12,23781200000.0,303445000000.0,0
9,2015-01-16,000300.SH,3616.25,3662.16,3601.26,3635.15,28268200000.0,355569000000.0,0
10,2015-01-19,000300.SH,3414.01,3497.25,3330.98,3355.16,32950500000.0,366018000000.0,0
11,2015-01-20,000300.SH,3336.79,3419.2,3325.68,3396.22,29784300000.0,381918000000.0,0
12,2015-01-21,000300.SH,3420.49,3557.79,3409.43,3548.89,33792800000.0,425434000000.0,0
13,2015-01-22,000300.SH,3551.05,3576.76,3520.05,3567.61,26885400000.0,345026000000.0,0
14,2015-01-23,000300.SH,3582.09,3627.81,3548.63,3571.73,28017200000.0,361836000000.0,0
15,2015-01-26,000300.SH,3580.12,3611.62,3559.38,3607.99,23976600000.0,309586000000.0,0
16,2015-01-27,000300.SH,3614.04,3616.26,3510.02,3574.93,28766900000.0,357548000000.0,0
17,2015-01-28,000300.SH,3547.24,3583.31,3512.39,3525.32,21622000000.0,278749000000.0,0
18,2015-01-29,000300.SH,3474.92,3505.58,3453.9,3481.8,21161900000.0,251898000000.0,0
19,2015-01-30,000300.SH,3496.89,3514.22,3431.94,3434.39,19647900000.0,237421000000.0,0
20,2015-02-02,000300.SH,3360.19,3407.26,3347.08,3353.96,19518400000.0,224838000000.0,0
21,2015-02-03,000300.SH,3388.6,3441.71,3360.72,3437.45,19284600000.0,241100000000.0,0
22,2015-02-04,000300.SH,3446.14,3476.82,3399.56,3401.77,19130400000.0,244034000000.0,0
23,2015-02-05,000300.SH,3487.95,3487.95,3366.86,3366.95,25043100000.0,311524000000.0,0
24,2015-02-06,000300.SH,3352.33,3374.05,3285.94,3312.42,19266400000.0,221433000000.0,0
25,2015-02-09,000300.SH,3305.73,3376.53,3298.6,3345.92,17235400000.0,220767000000.0,0
26,2015-02-10,000300.SH,3345.08,3407.18,3339.55,3406.94,15930900000.0,199121000000.0,0
27,2015-02-11,000300.SH,3415.98,3445.66,3412.14,3434.12,14461400000.0,185979000000.0,0
28,2015-02-12,000300.SH,3435.36,3453.58,3405.63,3442.87,15608200000.0,191286000000.0,0
29,2015-02-13,000300.SH,3458.83,3509.5,3452.08,3469.83,20109000000.0,247076000000.0,0
30,2015-02-16,000300.SH,3473.29,3504.48,3466.61,3499.48,16564100000.0,222800000000.0,0
31,2015-02-17,000300.SH,3511.54,3536.82,3511.09,3522.32,16532800000.0,214457000000.0,0
32,2015-02-25,000300.SH,3529.55,3529.55,3463.96,3478.73,16553900000.0,211739000000.0,0
33,2015-02-26,000300.SH,3473.71,3569.33,3456.87,3566.29,22932800000.0,279809000000.0,0
34,2015-02-27,000300.SH,3565.23,3594.81,3560.46,3572.84,22278600000.0,271862000000.0,0
35,2015-03-02,000300.SH,3603.45,3608.69,3566.53,3601.26,24817600000.0,325165000000.0,0
36,2015-03-03,000300.SH,3579.31,3579.31,3504.2,3507.9,26186600000.0,335700000000.0,0
37,2015-03-04,000300.SH,3514.67,3540.91,3497.17,3530.82,19966400000.0,257469000000.0,0
38,2015-03-05,000300.SH,3513.25,3517.08,3467.68,3496.34,21750900000.0,279031000000.0,0
39,2015-03-06,000300.SH,3501.18,3516.24,3472.39,3478.52,18151800000.0,233468000000.0,0
40,2015-03-09,000300.SH,3449.7,3546.71,3417.49,3537.75,23394000000.0,277860000000.0,0
41,2015-03-10,000300.SH,3523.64,3551.21,3511.99,3520.61,19426800000.0,245367000000.0,0
42,2015-03-11,000300.SH,3524.57,3568.92,3512.22,3524.65,18894800000.0,235773000000.0,0
43,2015-03-12,000300.SH,3557.69,3603.34,3536.53,3592.84,26566500000.0,322141000000.0,0
44,2015-03-13,000300.SH,3604.67,3641.39,3594.74,3617.66,24686500000.0,297299000000.0,0
45,2015-03-16,000300.SH,3641.77,3705.74,3621.12,3705.67,27543800000.0,358498000000.0,0
46,2015-03-17,000300.SH,3733.96,3762.57,3716.81,3757.12,37162600000.0,455004000000.0,0
47,2015-03-18,000300.SH,3769.09,3846.05,3763.85,3846.05,41519000000.0,484466000000.0,0
48,2015-03-19,000300.SH,3851.25,3859.13,3809.71,3839.74,39154800000.0,463213000000.0,0
49,2015-03-20,000300.SH,3852.49,3916.86,3832.42,3892.57,40181800000.0,544468000000.0,0
50,2015-03-23,000300.SH,3923.08,3972.3,3922.21,3972.06,39112000000.0,519760000000.0,0
51,2015-03-24,000300.SH,3980.07,3989.86,3883.78,3973.05,46858100000.0,591067000000.0,0
52,2015-03-25,000300.SH,3961.58,3980.72,3913.99,3940.41,37996900000.0,501734000000.0,0
53,2015-03-26,000300.SH,3921.75,3992.0,3892.88,3950.0,34675600000.0,468538000000.0,0
54,2015-03-27,000300.SH,3957.54,3993.03,3932.87,3971.7,29875600000.0,393132000000.0,0
55,2015-03-30,000300.SH,3999.02,4101.65,3999.02,4088.18,42829700000.0,546211000000.0,0
56,2015-03-31,000300.SH,4138.88,4166.02,4037.77,4051.2,43606600000.0,598122000000.0,0
57,2015-04-01,000300.SH,4057.5,4139.5,4046.94,4123.9,32951300000.0,466597000000.0,0
