,index,datetime,IF2103,IF2012,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account,,,,,,,
0,1200,30:00.0,4645,4697,-52,-65.30097087,-62.98001665,13.30097087,3,-1,72.8676,0,0,-72.8676,,,,,,,
1,1201,31:00.0,4643.2,4695.4,-52.2,-65.28682386,-62.98018318,13.08682386,3,-1,0,0,0.2,-72.6676,,,,,,,
2,1202,32:00.0,4639.2,4690,-50.8,-65.26990291,-62.97985012,14.46990291,3,-1,0,0,-1.2,-74.0676,,,,,,,
3,1203,33:00.0,4632.8,4684.4,-51.6,-65.25464632,-62.98001665,13.65464632,3,-1,0,0,-0.4,-73.2676,,service:这次交易的手续费,,,,,
4,1204,34:00.0,4625,4674,-49,-65.2368932,-62.97818485,16.2368932,3,-1,0,0,-3,-75.8676,,bag:此时买卖带来的收益,,,,,
5,1205,35:00.0,4631.2,4682.2,-51,-65.22135922,-62.97718568,14.22135922,3,-1,0,0,-1,-73.8676,,revenue:仍持有的合约若此时卖出的收益（为平滑收益曲线）,,,,,
6,1206,36:00.0,4624.4,4674.2,-49.8,-65.20416089,-62.97701915,15.40416089,3,-1,0,0,-2.2,-75.0676,,account:此时账户中的钱=bag+revenue-sum(service),,,,,
7,1207,37:00.0,4621.8,4671.4,-49.6,-65.18391123,-62.97651957,15.58391123,3,-1,0,0,-2.4,-75.2676,,,,,,,
8,1208,38:00.0,4622.6,4673.4,-50.8,-65.16477115,-62.97785179,14.36477115,3,-1,0,0,-1.2,-74.0676,,本金160万,,,,,
9,1209,39:00.0,4618,4667.8,-49.8,-65.14507628,-62.9785179,15.34507628,3,-1,0,0,-2.2,-75.0676,,,,,,,
10,1210,40:00.0,4617.4,4668.8,-51.4,-65.12871012,-62.97868443,13.72871012,3,-1,0,0,-0.6,-73.4676,,,,,,,
11,1211,41:00.0,4617,4669.8,-52.8,-65.11345354,-62.98018318,12.31345354,3,-1,0,0,0.8,-72.0676,,,,,,,
12,1212,42:00.0,4620.2,4670,-49.8,-65.0926491,-62.97835137,15.2926491,3,-1,0,0,-2.2,-75.0676,,,,,,,
13,1213,43:00.0,4617.2,4666.6,-49.4,-65.07350902,-62.97651957,15.67350902,3,-1,0,0,-2.6,-75.4676,,,,,,,
14,1214,44:00.0,4610,4661.2,-51.2,-65.05603329,-62.97502082,13.85603329,3,-1,0,0,-0.8,-73.6676,,,,,,,
15,1215,45:00.0,4617,4667.2,-50.2,-65.0371706,-62.97285595,14.8371706,3,-1,0,0,-1.8,-74.6676,,,,,,,
16,1216,46:00.0,4621,4673.8,-52.8,-65.02080444,-62.97452123,12.22080444,3,-1,0,0,0.8,-72.0676,,,,,,,
17,1217,47:00.0,4622.6,4673.2,-50.6,-65.0036061,-62.97535387,14.4036061,3,-1,0,0,-1.4,-74.2676,,,,,,,
18,1218,48:00.0,4621.2,4671.6,-50.4,-64.98751734,-62.97418818,14.58751734,3,-1,0,0,-1.6,-74.4676,,,,,,,
19,1219,49:00.0,4617.6,4666.4,-48.8,-64.96588072,-62.97052456,16.16588072,3,-1,0,0,-3.2,-76.0676,,,,,,,
20,1220,50:00.0,4613,4664.4,-51.4,-64.94923717,-62.96902581,13.54923717,3,-1,0,0,-0.6,-73.4676,,,,,,,
21,1221,51:00.0,4616,4666.2,-50.2,-64.93120666,-62.96652789,14.73120666,3,-1,0,0,-1.8,-74.6676,,,,,,,
22,1222,52:00.0,4617.6,4668.4,-50.8,-64.91317614,-62.9641965,14.11317614,3,-1,0,0,-1.2,-74.0676,,,,,,,
23,1223,53:00.0,4615.4,4666.6,-51.2,-64.89708738,-62.96186511,13.69708738,3,-1,0,0,-0.8,-73.6676,,,,,,,
24,1224,54:00.0,4619.6,4670.2,-50.6,-64.87933426,-62.96019983,14.27933426,3,-1,0,0,-1.4,-74.2676,,,,,,,
25,1225,55:00.0,4622.8,4673.6,-50.8,-64.8629681,-62.95870108,14.0629681,3,-1,0,0,-1.2,-74.0676,,,,,,,
26,1226,56:00.0,4615.8,4668.6,-52.8,-64.84743412,-62.95720233,12.04743412,3,-1,0,0,0.8,-72.0676,,,,,,,
27,1227,57:00.0,4613.2,4666,-52.8,-64.83356449,-62.9570358,12.03356449,3,-1,0,0,0.8,-72.0676,,,,,,,
28,1228,58:00.0,4612,4664.8,-52.8,-64.81608877,-62.95786844,12.01608877,3,-1,0,0,0.8,-72.0676,,,,,,,
29,1229,59:00.0,4607.2,4660.8,-53.6,-64.8036061,-62.95670275,11.2036061,3,-1,0,0,1.6,-71.2676,,,,,,,
30,1230,00:00.0,4611.6,4664.8,-53.2,-64.78918169,-62.95487094,11.58918169,3,-1,0,0,1.2,-71.6676,,,,,,,
31,1231,01:00.0,4611.2,4665.6,-54.4,-64.77697642,-62.95753539,10.37697642,3,-1,0,0,2.4,-70.4676,,,,,,,
32,1232,02:00.0,4613.6,4667,-53.4,-64.76255201,-62.955204,11.36255201,3,-1,0,0,1.4,-71.4676,,,,,,,
33,1233,03:00.0,4614.8,4668,-53.2,-64.74674064,-62.95370525,11.54674064,3,-1,0,0,1.2,-71.6676,,,,,,,
34,1234,04:00.0,4615,4668.8,-53.8,-64.73287101,-62.95370525,10.93287101,3,-1,0,0,1.8,-71.0676,,,,,,,
