,index,datetime,IF2103,IF2012,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account
0,1200,2020-09-21 09:29:59.999997,4645.0,4697.0,-52.0,-65.3009708737861,-62.9800166527891,13.300970873786099,3,-1,72.8676,0,0.0,-72.8676
1,1201,2020-09-21 09:31:00.000002,4643.2,4695.4,-52.1999999999998,-65.2868238557556,-62.9801831806825,13.086823855755803,3,-1,0,0,59.999999999939035,-12.86760000006096
2,1202,2020-09-21 09:31:59.999998,4639.2,4690.0,-50.8000000000001,-65.2699029126211,-62.9798501248956,14.46990291262101,3,-1,0,0,-359.999999999971,-432.867599999971
3,1203,2020-09-21 09:33:00.000003,4632.8,4684.4,-51.5999999999994,-65.2546463245489,-62.9800166527891,13.654646324549503,3,-1,0,0,-120.00000000018076,-192.86760000018074
4,1204,2020-09-21 09:33:59.999999,4625.0,4674.0,-49.0,-65.2368932038832,-62.9781848459614,16.2368932038832,3,-1,0,0,-900.0,-972.8676
5,1205,2020-09-21 09:35:00.000004,4631.2,4682.2,-51.0,-65.2213592233007,-62.9771856786009,14.221359223300695,3,-1,0,0,-300.0,-372.8676
6,1206,2020-09-21 09:36:00.000000,4624.4,4674.2,-49.8000000000001,-65.2041608876557,-62.9770191507075,15.404160887655607,3,-1,0,0,-659.999999999971,-732.867599999971
7,1207,2020-09-21 09:36:59.999996,4621.8,4671.4,-49.5999999999994,-65.1839112343964,-62.9765195670272,15.583911234397007,3,-1,0,0,-720.0000000001808,-792.8676000001808
8,1208,2020-09-21 09:38:00.000001,4622.6,4673.4,-50.7999999999992,-65.1647711511786,-62.9778517901746,14.364771151179397,3,-1,0,0,-360.0000000002396,-432.8676000002396
9,1209,2020-09-21 09:38:59.999997,4618.0,4667.8,-49.8000000000001,-65.1450762829401,-62.9785179017483,15.34507628294,3,-1,0,0,-659.999999999971,-732.867599999971
10,1210,2020-09-21 09:40:00.000002,4617.4,4668.8,-51.4000000000005,-65.1287101248263,-62.9786844296417,13.728710124825795,3,-1,0,0,-179.99999999984908,-252.86759999984906
11,1211,2020-09-21 09:40:59.999998,4617.0,4669.8,-52.8000000000001,-65.1134535367542,-62.9801831806825,12.313453536754096,3,-1,0,0,240.000000000029,167.132400000029
12,1212,2020-09-21 09:42:00.000003,4620.2,4670.0,-49.8000000000001,-65.092649098474,-62.9783513738548,15.292649098473902,3,-1,0,0,-659.999999999971,-732.867599999971
13,1213,2020-09-21 09:42:59.999999,4617.2,4666.6,-49.4000000000005,-65.0735090152563,-62.9765195670272,15.673509015255803,3,-1,0,0,-779.999999999849,-852.8675999998491
14,1214,2020-09-21 09:44:00.000004,4610.0,4661.2,-51.1999999999998,-65.0560332871009,-62.9750208159864,13.856033287101106,3,-1,0,0,-240.00000000006096,-312.867600000061
