,account
0,-360.0000000000051
1,-720.0000000000017
2,-720.0000000000017
3,-720.0000000000017
4,-1800.0
5,-2520.000000000002
6,-900.0
7,-1260.000000000005
8,-1079.9999999999982
9,-1620.0000000000018
10,-540.0000000000034
11,-2700.0
12,-1079.9999999999982
13,-1440.0000000000034
14,-299.9999999999983
15,-840.0000000000017
16,59.999999999998295
17,419.9999999999949
18,240.00000000000085
19,600.0000000000017
20,-299.9999999999983
21,-299.9999999999983
22,-120.0
23,2757.9182399999986
24,597.9182399999978
25,-64.15104000000045
26,1015.8489599999978
27,115.84895999999785
28,1735.8489599999953
29,295.84895999999617
30,2635.8489599999953
31,655.8489600000013
32,1015.8489599999978
33,115.84895999999785
34,835.8489599999996
35,295.84895999999617
36,1735.8489599999953
37,1915.8489599999978
38,1735.8489599999953
39,-244.15103999999874
40,835.8489599999996
41,1555.8489600000014
42,2095.8489600000003
43,2273.5643999999984
44,1793.5643999999954
45,1673.5643999999982
46,1193.5643999999977
47,1193.5643999999977
48,1313.5643999999972
49,1433.5643999999988
50,2273.5643999999984
51,1313.5643999999972
52,2033.564399999999
53,593.5643999999976
54,1193.5643999999977
55,1913.5643999999972
56,2153.5643999999966
57,1433.5643999999988
58,1673.5643999999982
59,1193.5643999999977
60,1793.5643999999954
61,1313.5643999999972
62,1073.5643999999982
63,1433.5643999999988
64,233.56439999999682
65,1313.5643999999972
66,1073.5643999999982
67,1073.5643999999982
68,593.5643999999976
69,1553.5643999999963
70,1793.5643999999954
71,1073.5643999999982
72,713.5643999999972
73,593.5643999999976
74,1073.5643999999982
75,1313.5643999999972
76,1553.5643999999963
77,1433.5643999999988
78,2033.564399999999
79,1673.5643999999982
80,833.5643999999968
81,1073.5643999999982
82,1433.5643999999988
83,1073.5643999999982
84,3113.5643999999975
85,1553.5643999999963
86,2153.5643999999966
87,2753.5643999999966
88,1793.5643999999954
89,2633.5643999999993
90,1793.5643999999954
91,1913.5643999999972
92,2153.5643999999966
93,1313.5643999999972
94,2033.564399999999
95,1913.5643999999972
96,2873.5643999999984
97,3650.9756399999987
98,2810.9756399999974
99,2810.9756399999974
100,2750.9756399999987
101,2870.9756399999983
102,2208.3759599999976
103,2088.3759599999976
104,1488.3759599999973
105,1608.3759599999987
106,1368.375959999997
107,768.3759599999987
108,768.3759599999983
109,-311.6240400000027
110,168.3759599999974
111,2448.3759599999976
112,1368.3759599999996
113,1968.3759599999996
114,1728.3759599999962
115,1488.375959999997
116,1248.3759599999978
117,888.3759599999969
118,2328.375959999996
119,2808.3759599999985
120,1248.3759599999978
121,888.3759599999969
122,168.3759599999974
123,288.37595999999695
124,648.3759599999978
125,48.37595999999775
126,648.3759599999978
127,648.3759599999978
128,888.3759599999969
129,1248.3759599999978
130,1968.3759599999996
131,648.3759599999978
132,2688.375959999997
133,1968.3759599999996
134,2328.375959999996
135,2088.3759599999967
136,1728.3759599999962
137,1488.375959999997
138,1848.3759599999978
139,1368.3759599999996
140,1128.3759599999983
141,1368.3759599999996
142,1248.3759599999978
143,2208.3759599999985
144,2208.3759599999985
145,1968.3759599999996
146,2568.3759599999994
147,2505.929159999997
148,2205.929159999997
149,2145.9291599999983
150,2685.9291599999974
151,2325.9291599999965
152,2205.929159999997
153,943.3684799999965
154,2623.368479999997
155,2383.368479999998
156,2383.368479999998
157,2023.368479999997
158,1903.3684799999955
159,2383.368479999998
160,2743.3684799999946
161,2743.3684799999946
162,2983.368479999998
163,3343.3684799999946
164,2503.3684799999955
165,2743.3684799999946
166,2743.3684799999946
167,3103.3684799999955
168,3280.968479999997
169,3220.9684799999977
170,2980.968479999996
171,3160.968479999996
172,2800.9684799999973
173,2920.968479999997
174,2620.968479999997
175,2620.968479999997
176,2440.9684799999964
177,2560.968479999996
178,2440.9684799999964
179,2800.9684799999973
180,2980.9684799999977
181,2440.9684799999964
182,2920.968479999997
183,2680.9684799999977
184,2260.9684799999973
185,3220.968479999997
186,2140.9684799999964
187,2860.968479999996
188,2800.9684799999973
189,2800.9684799999973
190,2380.9684799999977
191,2080.968479999997
192,2380.9684799999977
193,2200.9684799999973
194,2260.9684799999973
195,2380.9684799999977
196,2380.9684799999977
197,2740.9684799999964
198,2680.9684799999977
199,3100.9684799999973
200,2920.968479999997
201,2860.968479999996
202,3520.968479999997
203,3160.968479999996
204,3160.968479999996
205,2980.9684799999977
206,2920.968479999997
207,2920.968479999997
208,3220.968479999997
209,3160.968479999996
210,2980.9684799999977
211,3280.9684799999977
212,2860.968479999996
213,3160.968479999996
214,2980.9684799999977
215,2500.9684799999973
216,2320.968479999997
217,2740.9684799999964
218,2980.9684799999977
219,3398.488919999998
220,3398.488919999998
221,3398.488919999998
222,3398.488919999998
223,3398.488919999998
224,3398.488919999998
225,3398.488919999998
226,3398.488919999998
227,3398.488919999998
228,3398.488919999998
229,3398.488919999998
230,3398.488919999998
231,3398.488919999998
232,3398.488919999998
233,3398.488919999998
234,3398.488919999998
235,3398.488919999998
236,3398.488919999998
237,3398.488919999998
238,3398.488919999998
239,3398.488919999998
240,3215.8065599999977
241,3635.8065599999973
242,3335.8065599999973
243,3995.806559999998
244,3815.806559999998
245,3575.806559999998
246,3815.806559999998
247,3575.806559999998
248,3275.8065599999986
249,3215.8065599999977
250,2433.0025199999977
251,4113.002519999996
252,3393.0025199999986
253,4890.192239999997
254,4710.1922399999985
255,4830.192239999998
256,4470.1922399999985
257,4410.192239999997
258,4470.192239999998
259,4530.1922399999985
260,4290.1922399999985
261,3870.192239999998
262,3930.192239999996
263,3690.192239999996
264,3270.192239999997
265,3270.192239999997
266,4110.192239999997
267,4587.475559999997
268,4467.475559999997
269,4467.475559999997
270,4467.475559999997
271,4284.800999999998
272,4344.800999999998
273,3744.800999999997
274,4284.800999999998
275,4704.800999999996
276,4104.800999999998
277,4704.800999999996
278,4344.800999999998
279,4524.800999999996
280,4644.800999999996
281,4644.800999999996
282,4764.800999999998
283,4884.800999999998
284,4584.800999999998
285,4884.800999999998
286,5064.800999999998
287,4824.800999999996
288,4704.800999999996
289,5004.800999999996
290,4584.800999999998
291,4644.800999999996
292,4944.800999999996
293,5064.800999999998
294,4704.800999999996
295,5002.0687199999975
296,4882.0687199999975
297,4762.0687199999975
298,4642.0687199999975
299,4642.0687199999975
300,4642.0687199999975
301,4642.0687199999975
302,4642.0687199999975
303,4642.0687199999975
304,4642.0687199999975
305,4642.0687199999975
306,4642.0687199999975
307,4642.0687199999975
308,4459.361399999997
309,4759.361399999997
310,4579.361399999997
311,4939.361399999998
312,4519.361399999997
313,4999.361399999996
314,5239.361399999998
315,5119.361399999998
316,5596.654079999997
317,5476.654079999997
318,5356.654079999997
319,5236.654079999997
320,5116.654079999997
321,4996.654079999997
322,4876.654079999997
323,4756.654079999997
324,4636.654079999997
325,4516.654079999997
326,4396.654079999997
327,4276.654079999997
328,4156.654079999997
329,4036.6540799999966
330,3916.6540799999966
331,3796.6540799999966
332,3676.6540799999966
333,3556.6540799999966
334,3436.6540799999966
335,3316.6540799999966
336,3196.6540799999966
337,3076.6540799999966
338,2956.6540799999966
339,2773.895279999996
340,2773.895279999996
341,2953.895279999996
342,2893.895279999998
343,3193.895279999997
344,3373.895279999996
345,3791.049119999996
346,3671.049119999996
347,3671.049119999996
348,3671.049119999996
349,3671.049119999996
350,3671.049119999996
351,3671.049119999996
352,3671.049119999996
353,3488.1967199999963
354,3548.1967199999954
355,3428.1967199999954
356,3908.1967199999963
357,3548.1967199999954
358,3968.1967199999945
359,3248.1967199999954
360,3428.1967199999954
361,3608.1967199999963
362,3488.1967199999963
363,3128.1967199999954
364,3788.1967199999963
365,2405.5486799999962
366,2885.5486799999944
367,4085.5486799999944
368,4205.548679999996
369,3965.5486799999926
370,3725.5486799999935
371,4085.5486799999944
372,4205.548679999996
373,4205.548679999996
374,2525.5486799999935
375,3965.5486799999926
376,4325.5486799999935
377,3485.5486799999944
378,4085.5486799999944
379,4502.867879999994
380,4202.867879999994
381,4322.867879999994
382,3962.8678799999952
383,4202.867879999994
384,4442.867879999993
385,4262.867879999995
386,4442.867879999993
387,4502.867879999994
388,3902.8678799999943
389,4022.8678799999943
390,3902.8678799999943
391,3842.8678799999934
392,3722.8678799999943
393,3180.2042399999955
394,4260.204239999994
395,3900.2042399999928
396,4980.2042399999955
397,3780.2042399999955
398,3780.2042399999955
399,4140.204239999992
400,3660.2042399999937
401,4260.204239999994
402,4260.204239999994
403,4380.2042399999955
404,5100.204239999993
405,5100.204239999993
406,4980.2042399999955
407,4740.204239999992
408,4140.204239999992
409,4140.204239999992
410,4380.2042399999955
411,4260.204239999994
412,3660.2042399999937
413,3420.2042399999946
414,4260.204239999994
415,4140.204239999992
416,5100.204239999993
417,5277.445439999993
418,4797.445439999993
419,4557.445439999994
420,4737.445439999994
421,4797.445439999993
422,5217.445439999992
423,5097.445439999993
424,5217.445439999992
425,5157.445439999994
426,5277.445439999993
427,5577.445439999993
428,5517.445439999992
429,4977.445439999993
430,5037.445439999994
431,4617.445439999992
432,5037.445439999994
433,4797.445439999993
434,5217.445439999992
435,5277.445439999993
436,5397.445439999993
437,5817.445439999992
438,5937.445439999994
439,5817.445439999992
440,6057.445439999994
441,5997.445439999993
442,5397.445439999993
443,5937.445439999994
444,5697.445439999993
445,5937.445439999994
446,6057.445439999994
447,5817.445439999992
448,5877.445439999993
449,5697.445439999993
450,5457.445439999994
451,5877.445439999993
452,5637.445439999994
453,5877.445439999993
454,5517.445439999992
455,5097.445439999993
456,4917.445439999992
457,5217.445439999992
458,4497.445439999993
459,4857.445439999994
460,5337.445439999994
461,4977.445439999993
462,4617.445439999992
463,4737.445439999994
464,4737.445439999994
465,4857.445439999994
466,5157.445439999994
467,5037.445439999994
468,4737.445439999994
469,4857.445439999994
470,5277.445439999993
471,4977.445439999993
472,4917.445439999992
473,5457.445439999994
474,5217.445439999992
475,5457.445439999994
476,5457.445439999994
477,5397.445439999993
478,5277.445439999993
479,5457.445439999994
480,3354.457319999994
481,3714.4573199999923
482,4074.4573199999904
483,5514.457319999994
484,4914.457319999994
485,5514.457319999994
486,5274.45731999999
487,4674.45731999999
488,4794.457319999992
489,6291.95591999999
490,6231.955919999992
491,6711.955919999992
492,6771.95591999999
493,7011.955919999992
494,7009.218959999991
495,6889.218959999991
496,6889.218959999991
497,6889.218959999991
498,6889.218959999991
499,6889.218959999991
500,6889.218959999991
501,6889.218959999991
502,6889.218959999991
503,6889.218959999991
504,6889.218959999991
505,6889.218959999991
506,6706.59275999999
507,7186.59275999999
508,7543.936919999991
509,7543.936919999991
510,7543.936919999991
511,7543.936919999991
512,7543.936919999991
513,7543.936919999991
514,7543.936919999991
515,7543.936919999991
516,7543.936919999991
517,7543.936919999991
518,7543.936919999991
519,7543.936919999991
520,7543.936919999991
521,7543.936919999991
522,7543.936919999991
523,7543.936919999991
524,7543.936919999991
525,7543.936919999991
526,7543.936919999991
527,7543.936919999991
528,7543.936919999991
529,7543.936919999991
530,7361.3855999999905
531,7481.3855999999905
532,7301.3855999999905
533,7721.385599999989
534,8618.803079999989
535,8618.803079999989
536,8618.803079999989
537,8618.803079999989
538,8618.803079999989
539,8618.803079999989
540,8618.803079999989
541,8618.803079999989
542,8618.803079999989
543,8618.803079999989
544,8618.803079999989
545,8618.803079999989
546,8618.803079999989
547,8618.803079999989
548,8618.803079999989
549,8618.803079999989
550,8618.803079999989
551,8618.803079999989
552,8618.803079999989
553,8618.803079999989
554,8618.803079999989
555,8618.803079999989
556,8618.803079999989
557,8618.803079999989
558,8618.803079999989
559,8618.803079999989
560,8618.803079999989
561,8618.803079999989
562,8618.803079999989
563,8618.803079999989
564,8618.803079999989
565,8618.803079999989
566,8618.803079999989
567,8618.803079999989
568,8618.803079999989
569,8618.803079999989
570,8618.803079999989
571,8618.803079999989
572,8618.803079999989
573,8618.803079999989
574,8618.803079999989
575,8618.803079999989
576,8618.803079999989
577,8618.803079999989
578,8618.803079999989
579,8618.803079999989
580,8618.803079999989
581,8618.803079999989
582,8618.803079999989
583,8436.446759999988
584,9096.446759999988
585,8556.446759999988
586,8916.446759999988
587,8976.446759999988
588,9336.446759999988
589,9036.446759999988
590,9276.446759999988
591,8856.446759999988
592,8976.446759999988
593,9336.446759999988
594,8976.446759999988
595,9396.446759999988
596,9336.446759999988
597,9036.446759999988
598,9156.446759999988
599,8916.446759999988
600,8916.446759999988
601,9036.446759999988
602,8856.446759999988
603,9216.446759999988
604,9156.446759999988
605,9336.446759999988
606,9276.446759999988
607,8976.446759999988
608,9396.446759999988
609,9336.446759999988
610,9396.446759999988
611,9096.446759999988
612,9096.446759999988
613,9336.446759999988
614,8556.446759999988
615,8796.446759999988
616,9096.446759999988
617,9096.446759999988
618,9216.446759999988
619,9636.446759999988
620,9516.446759999988
621,9696.446759999988
622,9754.067039999989
623,9634.067039999989
624,9514.067039999989
625,9394.067039999989
626,9394.067039999989
627,9394.067039999989
628,9394.067039999989
629,9394.067039999989
630,9394.067039999989
631,9394.067039999989
632,9394.067039999989
633,9394.067039999989
634,9394.067039999989
635,9394.067039999989
636,9394.067039999989
637,9394.067039999989
638,9394.067039999989
639,9394.067039999989
640,9394.067039999989
641,9394.067039999989
642,9394.067039999989
643,9394.067039999989
644,9394.067039999989
645,9394.067039999989
646,9394.067039999989
647,9394.067039999989
648,9394.067039999989
649,9394.067039999989
650,9394.067039999989
651,9394.067039999989
652,9394.067039999989
653,9394.067039999989
654,9394.067039999989
655,9394.067039999989
656,9394.067039999989
657,9394.067039999989
658,9394.067039999989
659,9394.067039999989
660,9394.067039999989
661,9394.067039999989
662,9394.067039999989
663,9394.067039999989
664,9394.067039999989
665,9394.067039999989
666,9394.067039999989
667,9394.067039999989
668,9394.067039999989
669,9394.067039999989
670,9394.067039999989
671,9394.067039999989
672,9394.067039999989
673,9394.067039999989
674,9394.067039999989
675,9394.067039999989
676,9394.067039999989
677,9394.067039999989
678,9394.067039999989
679,9394.067039999989
680,9394.067039999989
681,9394.067039999989
682,9394.067039999989
683,9394.067039999989
684,9394.067039999989
685,9394.067039999989
686,9394.067039999989
687,9394.067039999989
688,9394.067039999989
689,9394.067039999989
690,9394.067039999989
691,9394.067039999989
692,9394.067039999989
693,9394.067039999989
694,9394.067039999989
695,9394.067039999989
696,9394.067039999989
697,9394.067039999989
698,9394.067039999989
699,9394.067039999989
700,9394.067039999989
701,9394.067039999989
702,9394.067039999989
703,9394.067039999989
704,9394.067039999989
705,9394.067039999989
706,9394.067039999989
707,9394.067039999989
708,9394.067039999989
709,9394.067039999989
710,9394.067039999989
711,9394.067039999989
712,9394.067039999989
713,9394.067039999989
714,9394.067039999989
715,9394.067039999989
716,9394.067039999989
717,9394.067039999989
718,9394.067039999989
