,datetime,IF2012,IF2009,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account
0,2020/6/23 9:30,3966.4,3997.8,-31.4,-37.800000000000004,-47.2,6.400000000000006,6,-3,0,0.0,-360.0000000000051,-360.0000000000051
1,2020/6/23 9:31,3980.0,4011.0,-31.0,-37.800000000000004,-47.2,6.800000000000004,6,-3,0,0.0,-720.0000000000017,-720.0000000000017
2,2020/6/23 9:32,3980.0,4011.0,-31.0,-37.800000000000004,-47.2,6.800000000000004,6,-3,0,0.0,-720.0000000000017,-720.0000000000017
3,2020/6/23 9:33,3982.2,4013.2,-31.0,-37.800000000000004,-47.2,6.800000000000004,6,-3,0,0.0,-720.0000000000017,-720.0000000000017
4,2020/6/23 9:34,3982.0,4011.8,-29.8,-37.800000000000004,-47.2,8.000000000000004,6,-3,0,0.0,-1800.0,-1800.0
5,2020/6/23 9:35,3981.4,4010.4,-29.0,-37.6,-47.2,8.600000000000001,6,-3,0,0.0,-2520.000000000002,-2520.000000000002
6,2020/6/23 9:36,3983.0,4013.8,-30.8,-37.6,-47.0,6.800000000000001,6,-3,0,0.0,-900.0,-900.0
7,2020/6/23 9:37,3982.4,4012.8,-30.4,-37.6,-47.0,7.200000000000003,6,-3,0,0.0,-1260.000000000005,-1260.000000000005
8,2020/6/23 9:38,3978.4,4009.0,-30.6,-37.6,-47.0,7.0,6,-3,0,0.0,-1079.9999999999982,-1079.9999999999982
9,2020/6/23 9:39,3975.2,4005.2,-30.0,-37.6,-47.0,7.600000000000001,6,-3,0,0.0,-1620.0000000000018,-1620.0000000000018
10,2020/6/23 9:40,3976.8,4008.0,-31.2,-37.6,-47.0,6.400000000000002,6,-3,0,0.0,-540.0000000000034,-540.0000000000034
11,2020/6/23 9:41,3973.2,4002.0,-28.8,-37.4,-47.0,8.599999999999998,6,-3,0,0.0,-2700.0,-2700.0
12,2020/6/23 9:42,3970.6,4001.2,-30.6,-37.4,-47.0,6.799999999999997,6,-3,0,0.0,-1079.9999999999982,-1079.9999999999982
13,2020/6/23 9:43,3970.0,4000.2,-30.2,-37.4,-47.0,7.199999999999999,6,-3,0,0.0,-1440.0000000000034,-1440.0000000000034
14,2020/6/23 9:44,3963.8,3995.4,-31.6,-37.4,-46.800000000000004,5.799999999999997,5,-3,0,-120.0,-179.9999999999983,-299.9999999999983
15,2020/6/23 9:45,3958.6,3989.6,-31.0,-37.4,-46.800000000000004,6.399999999999999,6,-3,0,-120.0,-720.0000000000017,-840.0000000000017
16,2020/6/23 9:46,3963.0,3995.0,-32.0,-37.4,-46.800000000000004,5.399999999999999,5,-3,0,-120.0,179.9999999999983,59.999999999998295
17,2020/6/23 9:47,3961.8,3994.2,-32.4,-37.2,-46.800000000000004,4.800000000000004,5,-3,0,-120.0,539.9999999999949,419.9999999999949
18,2020/6/23 9:48,3962.6,3994.8,-32.2,-37.2,-46.800000000000004,5.0,5,-3,0,-120.0,360.00000000000085,240.00000000000085
19,2020/6/23 9:49,3960.4,3993.0,-32.6,-37.2,-46.800000000000004,4.600000000000001,5,-3,0,-120.0,720.0000000000017,600.0000000000017
20,2020/6/23 9:50,3961.6,3993.2,-31.6,-37.2,-46.800000000000004,5.600000000000001,5,-3,0,-120.0,-179.9999999999983,-299.9999999999983
21,2020/6/23 9:51,3965.8,3997.4,-31.6,-37.2,-46.800000000000004,5.600000000000001,5,-3,0,-120.0,-179.9999999999983,-299.9999999999983
22,2020/6/23 9:52,3964.0,3995.8,-31.8,-37.2,-46.6,5.400000000000002,5,-3,0,-120.0,0.0,-120.0
23,2020/6/23 9:53,3962.0,3997.2,-35.2,-37.0,-46.6,1.7999999999999972,4,-3,0,-240.0,3060.000000000001,2820.000000000001
24,2020/6/23 9:54,3963.6,3995.2,-31.6,-37.0,-46.6,5.399999999999999,5,-3,0,-240.0,-179.9999999999983,-419.9999999999983
25,2020/6/23 9:55,3963.4,3994.2,-30.8,-37.0,-46.6,6.199999999999999,6,-3,0,-240.0,-900.0,-1140.0
26,2020/6/23 9:56,3962.4,3994.4,-32.0,-37.0,-46.6,5.0,5,-3,0,-240.0,179.9999999999983,-60.000000000001705
27,2020/6/23 9:57,3960.8,3991.8,-31.0,-37.0,-46.6,6.0,6,-3,0,-240.0,-720.0000000000017,-960.0000000000017
28,2020/6/23 9:58,3960.8,3993.6,-32.8,-37.0,-46.6,4.200000000000003,5,-3,0,-240.0,899.9999999999957,659.9999999999957
29,2020/6/23 9:59,3963.0,3994.2,-31.2,-37.0,-46.6,5.800000000000001,5,-3,0,-240.0,-540.0000000000034,-780.0000000000034
30,2020/6/23 10:00,3967.2,4001.0,-33.8,-36.800000000000004,-46.6,3.000000000000007,5,-3,0,-240.0,1799.9999999999957,1559.9999999999957
31,2020/6/23 10:01,3972.8,4004.4,-31.6,-36.800000000000004,-46.400000000000006,5.200000000000003,5,-3,0,-240.0,-179.9999999999983,-419.9999999999983
32,2020/6/23 10:02,3972.0,4004.0,-32.0,-36.800000000000004,-46.400000000000006,4.800000000000004,5,-3,0,-240.0,179.9999999999983,-60.000000000001705
33,2020/6/23 10:03,3976.6,4007.6,-31.0,-36.800000000000004,-46.400000000000006,5.800000000000004,5,-3,0,-240.0,-720.0000000000017,-960.0000000000017
34,2020/6/23 10:04,3976.2,4008.0,-31.8,-36.800000000000004,-46.400000000000006,5.0000000000000036,5,-3,0,-240.0,0.0,-240.0
35,2020/6/23 10:05,3974.8,4006.0,-31.2,-36.800000000000004,-46.400000000000006,5.600000000000005,5,-3,0,-240.0,-540.0000000000034,-780.0000000000034
36,2020/6/23 10:06,3969.4,4002.2,-32.8,-36.6,-46.400000000000006,3.8000000000000043,5,-3,0,-240.0,899.9999999999957,659.9999999999957
37,2020/6/23 10:07,3972.4,4005.4,-33.0,-36.6,-46.400000000000006,3.6000000000000014,5,-3,0,-240.0,1079.9999999999982,839.9999999999982
38,2020/6/23 10:08,3975.8,4008.6,-32.8,-36.6,-46.400000000000006,3.8000000000000043,5,-3,0,-240.0,899.9999999999957,659.9999999999957
39,2020/6/23 10:09,3979.2,4009.8,-30.6,-36.6,-46.2,6.0,6,-3,0,-240.0,-1079.9999999999982,-1319.9999999999982
40,2020/6/23 10:10,3976.0,4007.8,-31.8,-36.6,-46.2,4.800000000000001,5,-3,0,-240.0,0.0,-240.0
41,2020/6/23 10:11,3974.2,4006.8,-32.6,-36.6,-46.2,4.0,5,-3,0,-240.0,720.0000000000017,480.0000000000017
42,2020/6/23 10:12,3973.6,4006.8,-33.2,-36.6,-46.2,3.3999999999999986,5,-3,0,-240.0,1260.000000000001,1020.0000000000009
43,2020/6/23 10:13,3975.8,4009.4,-33.6,-36.4,-46.2,2.799999999999997,4,-3,0,-360.0,1620.0000000000018,1260.0000000000018
44,2020/6/23 10:14,3976.0,4008.8,-32.8,-36.4,-46.2,3.6000000000000014,5,-3,0,-360.0,899.9999999999957,539.9999999999957
45,2020/6/23 10:15,3976.6,4009.2,-32.6,-36.4,-46.2,3.799999999999997,5,-3,0,-360.0,720.0000000000017,360.0000000000017
46,2020/6/23 10:16,3977.4,4009.2,-31.8,-36.4,-46.2,4.599999999999998,5,-3,0,-360.0,0.0,-360.0
47,2020/6/23 10:17,3974.0,4005.8,-31.8,-36.4,-46.2,4.599999999999998,5,-3,0,-360.0,0.0,-360.0
48,2020/6/23 10:18,3974.8,4006.8,-32.0,-36.4,-46.0,4.399999999999999,5,-3,0,-360.0,179.9999999999983,-180.0000000000017
49,2020/6/23 10:19,3975.4,4007.6,-32.2,-36.4,-46.0,4.199999999999996,5,-3,0,-360.0,360.00000000000085,8.526512829121202e-13
50,2020/6/23 10:20,3973.6,4007.2,-33.6,-36.4,-46.0,2.799999999999997,4,-3,0,-480.0,1620.0000000000018,1140.0000000000018
51,2020/6/23 10:21,3977.0,4009.0,-32.0,-36.2,-46.0,4.200000000000003,5,-3,0,-480.0,179.9999999999983,-300.0000000000017
52,2020/6/23 10:22,3979.6,4012.8,-33.2,-36.2,-46.0,3.0,5,-3,0,-480.0,1260.000000000001,780.0000000000009
53,2020/6/23 10:23,3983.8,4014.6,-30.8,-36.2,-46.0,5.400000000000002,5,-3,0,-480.0,-900.0,-1380.0
54,2020/6/23 10:24,3984.6,4016.4,-31.8,-36.2,-46.0,4.400000000000002,5,-3,0,-480.0,0.0,-480.0
55,2020/6/23 10:25,3983.4,4016.4,-33.0,-36.2,-46.0,3.200000000000003,5,-3,0,-480.0,1079.9999999999982,599.9999999999982
56,2020/6/23 10:26,3983.4,4016.8,-33.4,-36.2,-46.0,2.8000000000000043,4,-3,0,-600.0,1439.999999999995,839.999999999995
57,2020/6/23 10:27,3988.2,4020.4,-32.2,-36.2,-45.800000000000004,4.0,5,-3,0,-600.0,360.00000000000085,-239.99999999999915
58,2020/6/23 10:28,3988.6,4021.2,-32.6,-36.2,-45.800000000000004,3.6000000000000014,5,-3,0,-600.0,720.0000000000017,120.0000000000017
59,2020/6/23 10:29,3990.0,4021.8,-31.8,-36.0,-45.800000000000004,4.199999999999999,5,-3,0,-600.0,0.0,-600.0
60,2020/6/23 10:30,3989.8,4022.6,-32.8,-36.0,-45.800000000000004,3.200000000000003,5,-3,0,-600.0,899.9999999999957,299.9999999999957
61,2020/6/23 10:31,3994.8,4026.8,-32.0,-36.0,-45.800000000000004,4.0,5,-3,0,-600.0,179.9999999999983,-420.0000000000017
62,2020/6/23 10:32,3992.4,4024.0,-31.6,-36.0,-45.800000000000004,4.399999999999999,5,-3,0,-600.0,-179.9999999999983,-779.9999999999983
63,2020/6/23 10:33,3991.8,4024.0,-32.2,-36.0,-45.800000000000004,3.799999999999997,5,-3,0,-600.0,360.00000000000085,-239.99999999999915
64,2020/6/23 10:34,3993.2,4023.4,-30.2,-36.0,-45.800000000000004,5.800000000000001,5,-3,0,-600.0,-1440.0000000000034,-2040.0000000000034
65,2020/6/23 10:35,3992.0,4024.0,-32.0,-36.0,-45.6,4.0,5,-3,0,-600.0,179.9999999999983,-420.0000000000017
66,2020/6/23 10:36,3990.0,4021.6,-31.6,-36.0,-45.6,4.399999999999999,5,-3,0,-600.0,-179.9999999999983,-779.9999999999983
67,2020/6/23 10:37,3991.8,4023.4,-31.6,-35.800000000000004,-45.6,4.200000000000003,5,-3,0,-600.0,-179.9999999999983,-779.9999999999983
68,2020/6/23 10:38,3990.8,4021.6,-30.8,-35.800000000000004,-45.6,5.0000000000000036,5,-3,0,-600.0,-900.0,-1500.0
69,2020/6/23 10:39,3990.6,4023.0,-32.4,-35.800000000000004,-45.6,3.4000000000000057,5,-3,0,-600.0,539.9999999999949,-60.000000000005116
70,2020/6/23 10:40,3989.8,4022.6,-32.8,-35.800000000000004,-45.6,3.000000000000007,5,-3,0,-600.0,899.9999999999957,299.9999999999957
71,2020/6/23 10:41,3992.0,4023.6,-31.6,-35.800000000000004,-45.6,4.200000000000003,5,-3,0,-600.0,-179.9999999999983,-779.9999999999983
72,2020/6/23 10:42,3989.2,4020.2,-31.0,-35.800000000000004,-45.6,4.800000000000004,5,-3,0,-600.0,-720.0000000000017,-1320.0000000000018
73,2020/6/23 10:43,3986.4,4017.2,-30.8,-35.800000000000004,-45.400000000000006,5.0000000000000036,5,-3,0,-600.0,-900.0,-1500.0
74,2020/6/23 10:44,3985.8,4017.4,-31.6,-35.800000000000004,-45.400000000000006,4.200000000000003,5,-3,0,-600.0,-179.9999999999983,-779.9999999999983
75,2020/6/23 10:45,3985.0,4017.0,-32.0,-35.800000000000004,-45.400000000000006,3.8000000000000043,5,-3,0,-600.0,179.9999999999983,-420.0000000000017
76,2020/6/23 10:46,3987.0,4019.4,-32.4,-35.6,-45.400000000000006,3.200000000000003,5,-3,0,-600.0,539.9999999999949,-60.000000000005116
77,2020/6/23 10:47,3989.4,4021.6,-32.2,-35.6,-45.400000000000006,3.3999999999999986,5,-3,0,-600.0,360.00000000000085,-239.99999999999915
78,2020/6/23 10:48,3987.8,4021.0,-33.2,-35.6,-45.400000000000006,2.3999999999999986,4,-3,0,-720.0,1260.000000000001,540.0000000000009
79,2020/6/23 10:49,3988.6,4021.2,-32.6,-35.6,-45.400000000000006,3.0,5,-3,0,-720.0,720.0000000000017,1.7053025658242404e-12
80,2020/6/23 10:50,3987.8,4019.0,-31.2,-35.6,-45.400000000000006,4.400000000000002,5,-3,0,-720.0,-540.0000000000034,-1260.0000000000034
81,2020/6/23 10:51,3987.0,4018.6,-31.6,-35.6,-45.2,4.0,5,-3,0,-720.0,-179.9999999999983,-899.9999999999983
82,2020/6/23 10:52,3989.8,4022.0,-32.2,-35.6,-45.2,3.3999999999999986,5,-3,0,-720.0,360.00000000000085,-359.99999999999915
83,2020/6/23 10:53,3989.8,4021.4,-31.6,-35.6,-45.2,4.0,5,-3,0,-720.0,-179.9999999999983,-899.9999999999983
84,2020/6/23 10:54,3989.2,4024.2,-35.0,-35.6,-45.2,0.6000000000000014,4,-3,0,-840.0,2879.999999999998,2039.9999999999982
85,2020/6/23 10:55,3993.0,4025.4,-32.4,-35.6,-45.2,3.200000000000003,5,-3,0,-840.0,539.9999999999949,-300.0000000000051
86,2020/6/23 10:56,3992.6,4026.0,-33.4,-35.4,-45.2,2.0,4,-2,62.54508,-480.0000000000017,959.9999999999966,417.4549199999949
87,2020/6/23 10:57,3993.2,4027.6,-34.4,-35.4,-45.2,1.0,4,-2,0,-600.0000000000017,1559.9999999999966,897.4549199999949
88,2020/6/23 10:58,3995.0,4027.8,-32.8,-35.4,-45.2,2.6000000000000014,4,-2,0,-720.0000000000017,599.9999999999957,-182.545080000006
89,2020/6/23 10:59,3993.8,4028.0,-34.2,-35.4,-45.0,1.1999999999999957,4,-2,0,-840.0000000000017,1439.999999999999,537.4549199999974
90,2020/6/23 11:00,3993.2,4026.0,-32.8,-35.4,-45.0,2.6000000000000014,4,-2,0,-960.0000000000017,599.9999999999957,-422.545080000006
91,2020/6/23 11:01,3995.8,4028.8,-33.0,-35.4,-45.0,2.3999999999999986,4,-2,0,-1080.0000000000018,719.9999999999975,-422.5450800000043
92,2020/6/23 11:02,3995.0,4028.4,-33.4,-35.4,-45.0,2.0,4,-2,0,-1200.0000000000018,959.9999999999966,-302.5450800000052
93,2020/6/23 11:03,3995.2,4027.2,-32.0,-35.4,-45.0,3.3999999999999986,5,-2,0,-1200.0000000000018,119.99999999999744,-1142.5450800000044
94,2020/6/23 11:04,3992.0,4025.2,-33.2,-35.4,-45.0,2.1999999999999957,4,-2,0,-1200.0000000000018,839.9999999999991,-422.5450800000027
95,2020/6/23 11:05,3992.2,4025.2,-33.0,-35.4,-45.0,2.3999999999999986,4,-2,0,-1200.0000000000018,719.9999999999975,-542.5450800000043
96,2020/6/23 11:06,3991.8,4026.4,-34.6,-35.2,-45.0,0.6000000000000014,4,-2,0,-1200.0000000000018,1679.9999999999982,417.4549199999964
97,2020/6/23 11:07,3994.0,4030.2,-36.2,-35.2,-45.0,-1.0,3,-2,0,-1320.0000000000018,2639.999999999999,1257.4549199999972
98,2020/6/23 11:08,3993.4,4026.8,-33.4,-35.2,-44.800000000000004,1.8000000000000043,4,-2,0,-1320.0000000000018,959.9999999999966,-422.5450800000052
99,2020/6/23 11:09,3994.2,4027.6,-33.4,-35.2,-44.800000000000004,1.8000000000000043,4,-2,0,-1320.0000000000018,959.9999999999966,-422.5450800000052
100,2020/6/23 11:10,3992.8,4026.0,-33.2,-35.2,-44.800000000000004,2.0,4,-2,0,-1320.0000000000018,839.9999999999991,-542.5450800000027
101,2020/6/23 11:11,3993.0,4026.6,-33.6,-35.2,-44.800000000000004,1.6000000000000014,4,-2,0,-1320.0000000000018,1079.9999999999982,-302.5450800000036
102,2020/6/23 11:12,3996.8,4028.8,-32.0,-35.2,-44.800000000000004,3.200000000000003,5,-2,0,-1320.0000000000018,119.99999999999744,-1262.5450800000044
103,2020/6/23 11:13,3998.6,4030.6,-32.0,-35.2,-44.800000000000004,3.200000000000003,5,-2,0,-1320.0000000000018,119.99999999999744,-1262.5450800000044
104,2020/6/23 11:14,3997.8,4029.0,-31.2,-35.2,-44.800000000000004,4.0000000000000036,5,-2,0,-1320.0000000000018,-360.00000000000296,-1742.5450800000049
105,2020/6/23 11:15,3998.4,4030.0,-31.6,-35.2,-44.800000000000004,3.6000000000000014,5,-2,0,-1320.0000000000018,-120.0000000000017,-1502.5450800000037
106,2020/6/23 11:16,3997.0,4028.4,-31.4,-35.0,-44.6,3.6000000000000014,5,-2,0,-1320.0000000000018,-240.0000000000034,-1622.5450800000053
107,2020/6/23 11:17,3994.8,4025.4,-30.6,-35.0,-44.6,4.399999999999999,5,-2,0,-1320.0000000000018,-720.0000000000017,-2102.5450800000035
108,2020/6/23 11:18,3995.4,4026.2,-30.8,-35.0,-44.6,4.199999999999999,5,-2,0,-1320.0000000000018,-600.0000000000022,-1982.5450800000042
109,2020/6/23 11:19,3997.2,4026.4,-29.2,-35.0,-44.6,5.800000000000001,5,-2,0,-1320.0000000000018,-1560.000000000003,-2942.5450800000044
110,2020/6/23 11:20,3997.8,4028.0,-30.2,-35.0,-44.6,4.800000000000001,5,-2,0,-1320.0000000000018,-960.000000000003,-2342.5450800000044
111,2020/6/23 11:21,3992.8,4026.8,-34.0,-35.0,-44.6,1.0,4,-2,0,-1320.0000000000018,1319.9999999999975,-62.54508000000432
112,2020/6/23 11:22,3992.0,4024.2,-32.2,-35.0,-44.6,2.799999999999997,4,-2,0,-1320.0000000000018,239.99999999999915,-1142.5450800000028
113,2020/6/23 11:23,3992.4,4025.6,-33.2,-34.800000000000004,-44.6,1.6000000000000014,4,-2,0,-1320.0000000000018,839.9999999999991,-542.5450800000027
114,2020/6/23 11:24,3994.4,4027.2,-32.8,-34.800000000000004,-44.400000000000006,2.000000000000007,4,-2,0,-1320.0000000000018,599.9999999999957,-782.5450800000061
115,2020/6/23 11:25,3993.6,4026.0,-32.4,-34.800000000000004,-44.400000000000006,2.4000000000000057,4,-2,0,-1320.0000000000018,359.9999999999966,-1022.5450800000052
116,2020/6/23 11:26,3996.4,4028.4,-32.0,-34.800000000000004,-44.400000000000006,2.8000000000000043,4,-2,0,-1320.0000000000018,119.99999999999744,-1262.5450800000044
117,2020/6/23 11:27,3998.6,4030.0,-31.4,-34.800000000000004,-44.400000000000006,3.4000000000000057,5,-2,0,-1320.0000000000018,-240.0000000000034,-1622.5450800000053
118,2020/6/23 11:28,3995.0,4028.8,-33.8,-34.800000000000004,-44.400000000000006,1.000000000000007,4,-2,0,-1320.0000000000018,1199.9999999999957,-182.54508000000612
119,2020/6/23 11:29,3996.8,4031.4,-34.6,-34.800000000000004,-44.400000000000006,0.20000000000000284,4,-2,0,-1320.0000000000018,1679.9999999999982,297.4549199999964
120,2020/6/23 13:00,3998.2,4030.2,-32.0,-34.800000000000004,-44.400000000000006,2.8000000000000043,4,-2,0,-1320.0000000000018,119.99999999999744,-1262.5450800000044
121,2020/6/23 13:01,3997.6,4029.0,-31.4,-34.800000000000004,-44.400000000000006,3.4000000000000057,5,-2,0,-1320.0000000000018,-240.0000000000034,-1622.5450800000053
122,2020/6/23 13:02,3998.0,4028.2,-30.2,-34.800000000000004,-44.2,4.600000000000005,5,-2,0,-1320.0000000000018,-960.000000000003,-2342.5450800000044
123,2020/6/23 13:03,3997.6,4028.0,-30.4,-34.6,-44.2,4.200000000000003,5,-2,0,-1320.0000000000018,-840.0000000000034,-2222.5450800000053
124,2020/6/23 13:04,3997.0,4028.0,-31.0,-34.6,-44.2,3.6000000000000014,5,-2,0,-1320.0000000000018,-480.00000000000256,-1862.5450800000044
125,2020/6/23 13:05,4001.8,4031.8,-30.0,-34.6,-44.2,4.600000000000001,5,-2,0,-1320.0000000000018,-1080.0000000000025,-2462.5450800000044
126,2020/6/23 13:06,4001.0,4032.0,-31.0,-34.6,-44.2,3.6000000000000014,5,-2,0,-1320.0000000000018,-480.00000000000256,-1862.5450800000044
127,2020/6/23 13:07,4003.4,4034.4,-31.0,-34.6,-44.2,3.6000000000000014,5,-2,0,-1320.0000000000018,-480.00000000000256,-1862.5450800000044
128,2020/6/23 13:08,3999.6,4031.0,-31.4,-34.6,-44.2,3.200000000000003,5,-2,0,-1320.0000000000018,-240.0000000000034,-1622.5450800000053
129,2020/6/23 13:09,4000.2,4032.2,-32.0,-34.6,-44.2,2.6000000000000014,4,-2,0,-1320.0000000000018,119.99999999999744,-1262.5450800000044
130,2020/6/23 13:10,4000.6,4033.8,-33.2,-34.6,-44.0,1.3999999999999986,4,-2,0,-1320.0000000000018,839.9999999999991,-542.5450800000027
131,2020/6/23 13:11,4000.0,4031.0,-31.0,-34.4,-44.0,3.3999999999999986,5,-2,0,-1320.0000000000018,-480.00000000000256,-1862.5450800000044
