,datetime,code,open,volume,amt,open_interest,index,index_smooth
0,2019/12/10 9:30,IF2006.CFE,3883.2,21,24477180,5831.057471,3886.44,
1,2019/12/10 9:31,IF2006.CFE,3886.4,32,37299000,5820.971429,3883.39,
2,2019/12/10 9:32,IF2006.CFE,3884,9,10489200,5811.8,3883.6,
3,2019/12/10 9:33,IF2006.CFE,3885.4,10,11653440,5808.679245,3884.86,
4,2019/12/10 9:34,IF2006.CFE,3884.8,19,22157760,5804.805195,3883.27,
5,2019/12/10 9:35,IF2006.CFE,3887.2,7,8161500,5799.948276,3885.64,
6,2019/12/10 9:36,IF2006.CFE,3886,7,8161440,5797.666667,3884.32,
7,2019/12/10 9:37,IF2006.CFE,3887.8,10,11669100,5794.246377,3884.75,
8,2019/12/10 9:38,IF2006.CFE,3890.6,4,4667580,5793.975,3890.44,
9,2019/12/10 9:39,IF2006.CFE,3890.4,7,8167440,5792.45614,3890.42,
10,2019/12/10 9:40,IF2006.CFE,3888.8,15,17490000,5797.590909,3889.62,
11,2019/12/10 9:41,IF2006.CFE,3885.4,9,10494540,5798.040816,3885.68,
12,2019/12/10 9:42,IF2006.CFE,3888,1,1166580,5796.833333,3887.29,
13,2019/12/10 9:43,IF2006.CFE,3888.6,2,2333940,5795.351852,3888.65,
14,2019/12/10 9:44,IF2006.CFE,3889.8,17,19832520,5793.113208,3889.5,
15,2019/12/10 9:45,IF2006.CFE,3888.2,5,5832660,5789.513514,3888.4,
16,2019/12/10 9:46,IF2006.CFE,3888.4,6,6999240,5789.055556,3888.65,
17,2019/12/10 9:47,IF2006.CFE,3889,14,16341300,5790.826923,3888.24,
18,2019/12/10 9:48,IF2006.CFE,3891,11,12838560,5793.477273,3890.71,
19,2019/12/10 9:49,IF2006.CFE,3890.8,22,25662300,5790.277778,3890.81,
20,2019/12/10 9:50,IF2006.CFE,3888,3,3499980,5786.2625,3889.33,
21,2019/12/10 9:51,IF2006.CFE,3889,14,16339240,5791.085106,3889.48,
22,2019/12/10 9:52,IF2006.CFE,3888.8,5,5832900,5790.4,3889.61,
23,2019/12/10 9:53,IF2006.CFE,3888.4,36,42009840,5793.707692,3889.25,
24,2019/12/10 9:54,IF2006.CFE,3888.8,11,12832920,5796.588235,3889.24,
25,2019/12/10 9:55,IF2006.CFE,3887.6,6,6997920,5801.116667,3887.79,
26,2019/12/10 9:56,IF2006.CFE,3887.8,6,6999360,5805.089286,3887.53,
27,2019/12/10 9:57,IF2006.CFE,3890.2,6,7001940,5807.189655,3886.83,
28,2019/12/10 9:58,IF2006.CFE,3889.6,5,5834340,5808.114754,3888.11,
29,2019/12/10 9:59,IF2006.CFE,3889.6,13,15165900,5811.680851,3888.72,
30,2019/12/10 10:00,IF2006.CFE,3888.2,12,13996380,5826.333333,3887.53,
