,datetime,code,open,volume,amt,open_interest,index_time,index,window,window-future,index-future
0,2019/12/10 9:30,IF2006.CFE,3883.2,21,24477180,5831.057471,,3886.44,,,3.24
1,2019/12/10 9:31,IF2006.CFE,3886.4,32,37299000,5820.971429,,3883.39,3884.915,,-3.01
2,2019/12/10 9:32,IF2006.CFE,3884,9,10489200,5811.8,,3883.6,3883.495,,-0.4
3,2019/12/10 9:33,IF2006.CFE,3885.4,10,11653440,5808.679245,,3884.86,3884.23,,-0.54
4,2019/12/10 9:34,IF2006.CFE,3884.8,19,22157760,5804.805195,,3883.27,3884.065,0.462,-1.53
5,2019/12/10 9:35,IF2006.CFE,3887.2,7,8161500,5799.948276,,3885.64,3884.455,2.632,-1.56
6,2019/12/10 9:36,IF2006.CFE,3886,7,8161440,5797.666667,,3884.32,3884.98,0.316,-1.68
7,2019/12/10 9:37,IF2006.CFE,3887.8,10,11669100,5794.246377,,3884.75,3884.535,0.686,-3.05
8,2019/12/10 9:38,IF2006.CFE,3890.6,4,4667580,5793.975,,3890.44,3887.595,2.69,-0.16
9,2019/12/10 9:39,IF2006.CFE,3890.4,7,8167440,5792.45614,,3890.42,3890.43,2.218,0.02
10,2019/12/10 9:40,IF2006.CFE,3888.8,15,17490000,5797.590909,,3889.62,3890.02,0.11,0.82
11,2019/12/10 9:41,IF2006.CFE,3885.4,9,10494540,5798.040816,,3885.68,3887.65,-2.932,0.28
12,2019/12/10 9:42,IF2006.CFE,3888,1,1166580,5796.833333,,3887.29,3886.485,-0.148,-0.71
13,2019/12/10 9:43,IF2006.CFE,3888.6,2,2333940,5795.351852,,3888.65,3887.97,0.696,0.05
14,2019/12/10 9:44,IF2006.CFE,3889.8,17,19832520,5793.113208,,3889.5,3889.075,1.302,-0.3
15,2019/12/10 9:45,IF2006.CFE,3888.2,5,5832660,5789.513514,,3888.4,3888.95,-0.488,0.2
16,2019/12/10 9:46,IF2006.CFE,3888.4,6,6999240,5789.055556,,3888.65,3888.525,-0.7,0.25
17,2019/12/10 9:47,IF2006.CFE,3889,14,16341300,5790.826923,,3888.24,3888.445,-0.362,-0.76
18,2019/12/10 9:48,IF2006.CFE,3891,11,12838560,5793.477273,,3890.71,3889.475,1.452,-0.29
19,2019/12/10 9:49,IF2006.CFE,3890.8,22,25662300,5790.277778,,3890.81,3890.76,1.086,0.01
20,2019/12/10 9:50,IF2006.CFE,3888,3,3499980,5786.2625,,3889.33,3890.07,-1.988,1.33
21,2019/12/10 9:51,IF2006.CFE,3889,14,16339240,5791.085106,,3889.48,3889.405,-0.696,0.48
22,2019/12/10 9:52,IF2006.CFE,3888.8,5,5832900,5790.4,,3889.61,3889.545,-0.582,0.81
23,2019/12/10 9:53,IF2006.CFE,3888.4,36,42009840,5793.707692,,3889.25,3889.43,-0.674,0.85
24,2019/12/10 9:54,IF2006.CFE,3888.8,11,12832920,5796.588235,,3889.24,3889.245,0.116,0.44
25,2019/12/10 9:55,IF2006.CFE,3887.6,6,6997920,5801.116667,,3887.79,3888.515,-0.528,0.19
26,2019/12/10 9:56,IF2006.CFE,3887.8,6,6999360,5805.089286,,3887.53,3887.66,-0.1,-0.27
27,2019/12/10 9:57,IF2006.CFE,3890.2,6,7001940,5807.189655,,3886.83,3887.18,2.404,-3.37
28,2019/12/10 9:58,IF2006.CFE,3889.6,5,5834340,5808.114754,,3888.11,3887.47,1.856,-1.49
29,2019/12/10 9:59,IF2006.CFE,3889.6,13,15165900,5811.680851,,3888.72,3888.415,2.136,-0.88
30,2019/12/10 10:00,IF2006.CFE,3888.2,12,13996380,5826.333333,,3887.53,3888.125,0.312,-0.67
31,2019/12/10 10:01,IF2006.CFE,3887.4,15,17503500,5834.413333,,3886.13,3886.83,-0.564,-1.27
32,2019/12/10 10:02,IF2006.CFE,3890.6,4,4667760,5839.5625,,3888.95,3887.54,2.718,-1.65
33,2019/12/10 10:03,IF2006.CFE,3889.6,5,5835480,5840.038462,,3888.49,3888.72,1.598,-1.11
34,2019/12/10 10:04,IF2006.CFE,3890.2,3,3500640,5840.921053,,3888.31,3888.4,1.576,-1.89
35,2019/12/10 10:05,IF2006.CFE,3889.4,2,2334480,5843,,3888.13,3888.22,0.454,-1.27
36,2019/12/10 10:06,IF2006.CFE,3890.8,8,9341040,5841.313433,,3889.24,3888.685,1.34,-1.56
37,2019/12/10 10:07,IF2006.CFE,3892.8,4,4670100,5841,,3890.56,3889.9,2.836,-2.24
38,2019/12/10 10:08,IF2006.CFE,3891.6,5,5836620,5842.547619,,3891.06,3890.81,1.132,-0.54
39,2019/12/10 10:09,IF2006.CFE,3890.4,4,4669500,5842.5,,3890.83,3890.945,-0.322,0.43
40,2019/12/10 10:10,IF2006.CFE,3891.8,2,2335020,5843,,3890.65,3890.74,0.08,-1.15
41,2019/12/10 10:11,IF2006.CFE,3893.2,24,28049880,5839.741573,,3890.51,3890.58,0.654,-2.69
42,2019/12/10 10:12,IF2006.CFE,3895.6,10,11686560,5833.517241,,3895.55,3893.03,2.432,-0.05
43,2019/12/10 10:13,IF2006.CFE,3895,1,1168260,5832.266667,,3895.19,3895.37,1.318,0.19
44,2019/12/10 10:14,IF2006.CFE,3894.2,0,0,5833,,3893.94,3894.565,0.008,-0.26
45,2019/12/10 10:15,IF2006.CFE,3894.2,3,3505440,5833.551724,,3893.22,3893.58,0.456,-0.98
46,2019/12/10 10:16,IF2006.CFE,3894.6,0,0,5834,,3893.06,3893.14,1.358,-1.54
47,2019/12/10 10:17,IF2006.CFE,3895,7,8177940,5837.631579,,3893.31,3893.185,2.186,-1.69
48,2019/12/10 10:18,IF2006.CFE,3893.8,0,0,5840,,3892.68,3892.995,1.376,-1.12
49,2019/12/10 10:19,IF2006.CFE,3893.8,5,5839740,5841.405405,,3891.8,3892.24,2.21,-2
50,2019/12/10 10:20,IF2006.CFE,3893.6,6,7006260,5844.836364,,3891.27,3891.535,2.544,-2.33
51,2019/12/10 10:21,IF2006.CFE,3891.2,4,4671360,5847.712121,,3888.89,3890.08,0.376,-2.31
52,2019/12/10 10:22,IF2006.CFE,3894.2,4,4672500,5848.347826,,3890.64,3889.765,3.216,-3.56
53,2019/12/10 10:23,IF2006.CFE,3893.8,4,4674240,5850.116667,,3891.52,3891.08,2.568,-2.28
54,2019/12/10 10:24,IF2006.CFE,3894.6,3,3504780,5851,,3892.6,3892.06,2.656,-2
55,2019/12/10 10:25,IF2006.CFE,3894.6,5,5841120,5853.461538,,3892.51,3892.555,2.372,-2.09
