datetime,IF2012,IF2009,spread,index
2020/7/1 13:53,4079.6,4115.4,-35.8,4203.22
2020/7/1 13:54,4076.4,4113.2,-36.8,4204.1
2020/7/1 13:58,4082.2,4118.4,-36.2,4210.74
2020/7/1 13:59,4084.4,4118.6,-34.2,4210.3
2020/7/1 14:00,4080.0,4114.0,-34.0,4210.64
2020/7/1 14:01,4081.0,4117.0,-36.0,4209.79
2020/7/1 14:02,4085.0,4120.4,-35.4,4209.06
2020/7/1 14:03,4083.2,4119.0,-35.8,4209.17
2020/7/1 14:04,4085.8,4122.4,-36.6,4209.98
2020/7/1 14:05,4084.0,4116.8,-32.8,4210.68
2020/7/1 14:06,4081.2,4117.6,-36.4,4210.14
2020/7/1 14:07,4080.6,4116.4,-35.8,4208.18
2020/7/1 14:08,4078.0,4113.2,-35.2,4208.36
2020/7/1 14:09,4078.0,4115.2,-37.2,4206.14
2020/7/1 14:10,4083.0,4120.6,-37.6,4204.48
2020/7/1 14:11,4083.0,4119.6,-36.6,4206.46
2020/7/1 14:12,4084.6,4117.8,-33.2,4207.33
2020/7/1 14:13,4086.2,4122.6,-36.4,4208.82
2020/7/1 14:14,4087.8,4123.0,-35.2,4209.63
2020/7/1 14:15,4087.8,4124.4,-36.6,4210.89
2020/7/1 14:16,4088.8,4125.6,-36.8,4214.22
2020/7/1 14:17,4089.6,4128.6,-39.0,4216.06
2020/7/1 14:18,4092.4,4127.6,-35.2,4219.12
2020/7/1 14:19,4090.4,4128.6,-38.2,4219.56
2020/7/1 14:20,4096.4,4131.0,-34.6,4219.38
2020/7/1 14:21,4095.8,4130.4,-34.6,4219.7
2020/7/1 14:22,4092.6,4128.2,-35.6,4220.49
2020/7/1 14:23,4094.2,4129.4,-35.2,4220.09
2020/7/1 14:24,4099.6,4132.8,-33.2,4220.29
2020/7/1 14:25,4097.8,4133.6,-35.8,4221.24
2020/7/1 14:26,4098.2,4133.2,-35.0,4223.44
2020/7/1 14:27,4093.8,4130.0,-36.2,4224.35
2020/7/1 14:28,4095.6,4133.0,-37.4,4226.02
2020/7/1 14:29,4095.6,4133.0,-37.4,4225.4
2020/7/1 14:30,4099.8,4133.6,-33.8,4226.02
2020/7/1 14:31,4097.2,4133.4,-36.2,4226.82
2020/7/1 14:32,4097.4,4133.4,-36.0,4227.51
2020/7/1 14:33,4099.0,4133.8,-34.8,4226.47
2020/7/1 14:34,4098.0,4132.2,-34.2,4226.44
2020/7/1 14:35,4097.6,4132.2,-34.6,4225.66
2020/7/1 14:36,4098.8,4133.6,-34.8,4224.97
2020/7/1 14:37,4105.0,4144.4,-39.4,4225.93
2020/7/1 14:38,4107.2,4141.6,-34.4,4228.72
2020/7/1 14:39,4111.6,4145.4,-33.8,4231.44
2020/7/1 14:40,4111.0,4144.0,-33.0,4233.5
2020/7/1 14:41,4111.2,4147.8,-36.6,4234.36
2020/7/1 14:42,4111.2,4147.0,-35.8,4235.17
2020/7/1 14:43,4111.2,4147.8,-36.6,4235.31
2020/7/1 14:44,4112.4,4147.0,-34.6,4234.23
2020/7/1 14:45,4120.8,4155.0,-34.2,4235.35
2020/7/1 14:46,4115.0,4151.6,-36.6,4237.37
2020/7/1 14:47,4114.2,4151.0,-36.8,4240.89
2020/7/1 14:48,4111.0,4148.2,-37.2,4241.29
2020/7/1 14:49,4113.6,4150.2,-36.6,4240.28
2020/7/1 14:50,4114.6,4152.0,-37.4,4239.71
2020/7/1 14:51,4113.0,4149.2,-36.2,4239.71
2020/7/1 14:52,4112.4,4151.0,-38.6,4239.85
2020/7/1 14:53,4117.8,4154.0,-36.2,4239.9
2020/7/1 14:54,4119.8,4155.2,-35.4,4241.1
2020/7/1 14:55,4123.0,4156.8,-33.8,4243.43
2020/7/1 14:56,4123.0,4159.8,-36.8,4243.43
2020/7/1 14:57,4126.6,4162.0,-35.4,4245.8
2020/7/1 14:58,4120.2,4156.0,-35.8,4247.34
2020/7/1 14:59,4120.2,4157.8,-37.6,4247.34
2020/7/2 9:30,4128.0,4167.4,-39.4,4247.78
2020/7/2 9:31,4136.2,4173.0,-36.8,4242.96
2020/7/2 9:32,4128.0,4163.0,-35.0,4242.96
2020/7/2 9:33,4127.8,4167.0,-39.2,4249.57
2020/7/2 9:34,4142.4,4180.4,-38.0,4246.06
2020/7/2 9:35,4147.4,4185.2,-37.8,4247.62
2020/7/2 9:36,4142.8,4181.0,-38.2,4247.62
2020/7/2 9:37,4147.4,4184.2,-36.8,4256.87
2020/7/2 9:38,4144.2,4181.8,-37.6,4258.49
2020/7/2 9:39,4149.0,4186.8,-37.8,4259.49
2020/7/2 9:40,4154.2,4191.8,-37.6,4257.26
2020/7/2 9:41,4151.8,4189.6,-37.8,4264.42
2020/7/2 9:42,4153.0,4190.8,-37.8,4265.5
2020/7/2 9:43,4156.6,4195.0,-38.4,4262.33
2020/7/2 9:44,4155.6,4193.2,-37.6,4262.33
2020/7/2 9:45,4151.0,4189.6,-38.6,4269.03
2020/7/2 9:46,4152.8,4191.8,-39.0,4265.62
2020/7/2 9:47,4150.6,4188.2,-37.6,4266.18
2020/7/2 9:48,4154.4,4192.0,-37.6,4268.55
2020/7/2 9:49,4158.2,4196.2,-38.0,4267.95
2020/7/2 9:50,4158.0,4196.6,-38.6,4269.32
2020/7/2 9:51,4154.6,4193.0,-38.4,4269.32
2020/7/2 9:52,4156.0,4191.4,-35.4,4270.06
2020/7/2 9:53,4160.0,4194.0,-34.0,4269.68
2020/7/2 9:54,4157.8,4193.0,-35.2,4269.68
2020/7/2 9:55,4164.8,4198.0,-33.2,4269.7
2020/7/2 9:56,4159.2,4192.2,-33.0,4269.7
2020/7/2 9:57,4151.6,4186.2,-34.6,4269.7
2020/7/2 9:58,4154.4,4187.6,-33.2,4269.01
2020/7/2 9:59,4158.0,4191.0,-33.0,4261.69
2020/7/2 10:00,4161.0,4194.8,-33.8,4262.69
2020/7/2 10:01,4161.4,4193.2,-31.8,4262.69
2020/7/2 10:02,4162.4,4194.6,-32.2,4266.83
2020/7/2 10:03,4163.8,4197.0,-33.2,4265.8
2020/7/2 10:04,4161.6,4195.2,-33.6,4268.27
2020/7/2 10:05,4160.0,4194.2,-34.2,4268.27
2020/7/2 10:06,4163.0,4196.4,-33.4,4268.27
