,pc,dc,qc,,,,
1,1,1,1,,,,
2,1,0,1,,,,
3,4,0,0,,,,
4,1,0,1,1.125,0.125,0.125,0
5,1,0,1,1.125,0.125,0.285714286,0
6,1,0,1,1.357142857,0.214285714,0.410714286,0
7,1,0,1,0.125,0.267857143,0.214285714,1
8,1,0,1,0.214285714,0.285714286,0.214285714,1
9,1,1,2,0.267857143,0.267857143,0.214285714,1
10,0,1,2,0.285714286,0.214285714,0.214285714,1
11,1,1,1,0.267857143,0.125,0.214285714,1
12,0,1,1,0.214285714,0,0.214285714,1
13,0,1,1,0.214285714,0.125,0.125,1
14,0,1,1,0.571428571,0.214285714,0,1
15,0,1,1,0.553571429,0.214285714,0,1
16,0,1,1,0.839285714,0.267857143,0,1
17,1,0,1,0.785714286,0.285714286,0,1
18,2,0,1,0.696428571,0.267857143,0,1
19,0,1,1,0.571428571,0.214285714,0,1
20,2,0,1,0.410714286,0.125,0,1
21,1,0,1,0.410714286,0.125,0.125,1
22,1,0,1,0.285714286,0.125,0.285714286,1
23,1,0,1,0.285714286,0.125,0.410714286,1
24,1,0,1,0.125,0.214285714,0.5,1
25,1,0,0,0.125,0.267857143,0.5,1
26,1,0,2,0.125,0.285714286,0.857142857,1
27,0,1,2,0.125,0.285714286,0.857142857,1
28,1,1,2,0.125,0.285714286,1.125,0
29,1,1,1,0.125,0.285714286,1.125,0
30,1,1,3,0.214285714,0.267857143,1.125,0
31,1,0,1,0.285714286,0.267857143,1.071428571,0
32,1,0,0,0.410714286,0.267857143,0.982142857,1
33,1,0,0,0.410714286,0.267857143,0.982142857,1
34,0,1,2,0.410714286,0.267857143,0.410714286,1
35,2,1,1,0.5,0.214285714,0.571428571,1
36,0,1,1,0.553571429,0.125,0.5,1
37,1,1,1,0.785714286,0,0.553571429,1
38,1,1,1,0.785714286,0,0.571428571,1
39,0,1,2,0.571428571,0,0.571428571,1
40,0,1,2,0.571428571,0,0.571428571,1
41,2,1,3,0.571428571,0.125,0.553571429,1
42,0,1,1,0.571428571,0.214285714,0.553571429,1
43,0,1,1,0.571428571,0.214285714,0.553571429,1
44,0,1,1,0.553571429,0.267857143,0.571428571,1
45,1,0,2,0.285714286,0.285714286,0.214285714,1
46,1,0,1,0.267857143,0.267857143,0.214285714,1
47,0,1,2,0.214285714,0.214285714,0.214285714,1
48,1,0,1,0.125,0.125,0.214285714,1
49,1,0,1,0.125,0.214285714,0.125,1
50,1,0,1,0.214285714,0.267857143,0.125,1
51,1,0,1,0.696428571,0.214285714,0,1
52,1,0,1,0.696428571,0.214285714,0,1
53,1,1,1,0.857142857,0.267857143,0,1
54,0,1,1,0.982142857,0.285714286,0.5,1
55,3,0,1,0.982142857,0.267857143,0.5,1
56,1,0,1,0.982142857,0.214285714,0.5,1
57,0,1,1,0.982142857,0.214285714,0.5,1
58,0,1,3,0.857142857,0.214285714,0.5,1
59,1,1,1,0.214285714,0.125,0.5,1
60,1,1,1,0.214285714,0,0.553571429,1
61,1,1,1,0.214285714,0,0.571428571,1
62,1,1,1,0.214285714,0,0.267857143,1
63,1,1,1,0.267857143,0,0.285714286,1
64,1,1,2,0.267857143,0,0.267857143,1
65,0,1,2,0.267857143,0,0.267857143,1
66,0,1,2,0.267857143,0,0.214285714,1
67,0,1,2,0.267857143,0.125,0.214285714,1
68,1,1,2,0.267857143,0.214285714,0.267857143,1
69,1,1,1,0.267857143,0.214285714,0.267857143,1
70,1,1,2,0.214285714,0.214285714,0.267857143,1
71,1,0,1,0.214285714,0.214285714,0.267857143,1
72,1,0,1,0.214285714,0.267857143,0.285714286,1
73,0,1,2,0.214285714,0.285714286,0.285714286,1
74,1,1,2,0.214285714,0.267857143,0.267857143,1
75,0,1,2,0.214285714,0.285714286,0.267857143,1
76,1,0,1,0.410714286,0.285714286,0.285714286,1
77,1,0,1,0.410714286,0.285714286,0.267857143,1
78,1,0,1,0.410714286,0.285714286,0.214285714,1
79,1,1,1,0.410714286,0.285714286,0.125,1
80,2,0,2,0.5,0.267857143,0.125,1
81,0,1,1,0.553571429,0.214285714,0.125,1
82,1,1,1,0.571428571,0.125,0.125,1
83,0,1,1,0.571428571,0.125,0.125,1
84,0,1,1,2.982142857,0,0.125,0
85,0,1,1,2.857142857,0,0.125,0
86,0,1,1,2.982142857,0,0.214285714,0
87,1,1,1,2.982142857,0,0.267857143,0
88,5,1,2,2.982142857,0,0.285714286,0
89,1,1,1,2.857142857,0.125,0.285714286,0
90,0,1,2,3.714285714,0.214285714,0.553571429,0
91,0,1,2,3.714285714,0.267857143,0.553571429,0
92,0,1,2,1.714285714,0.285714286,0.5,0
93,1,0,1,1.839285714,0.285714286,0.5,0
94,4,0,0,1.714285714,0.267857143,0.410714286,0
95,1,0,1,1.714285714,0.267857143,0.285714286,0
96,1,0,1,1.714285714,0.267857143,0.125,0
97,0,1,1,1.714285714,0.285714286,0.125,0
98,1,0,1,0.267857143,0.267857143,0,1
99,0,1,1,0.285714286,0.214285714,0,1
100,0,1,1,0.267857143,0.125,0.5,1
101,1,1,1,1.071428571,0.214285714,0.553571429,0
